account_id,statement_month,balance,credit_limit,utilization_ratio,minimum_payment_due,payment_status_dpd_bucket
ACC500004,2024-11-01,12558.47,20400,0.6156,251.17,0
ACC500004,2024-12-01,11824.84,20400,0.5796,236.5,0
ACC500004,2025-01-01,11788.17,20400,0.5779,235.76,0
ACC500004,2025-02-01,10518.44,20400,0.5156,210.37,0
ACC500004,2025-03-01,11442.16,20400,0.5609,228.84,0
ACC500004,2025-04-01,11753.77,20400,0.5762,235.08,0
ACC500004,2025-05-01,12809.49,20400,0.6279,256.19,4
ACC500004,2025-06-01,12940.9,20400,0.6344,258.82,0
ACC500004,2025-07-01,12910.56,20400,0.6329,258.21,0
ACC500004,2025-08-01,13012.93,20400,0.6379,260.26,0
ACC500004,2025-09-01,12442.11,20400,0.6099,248.84,1
ACC500005,2024-10-01,8003.75,18300,0.4374,160.07,0
ACC500005,2024-11-01,8641.74,18300,0.4722,172.83,0
ACC500005,2024-12-01,8084.06,18300,0.4418,161.68,0
ACC500005,2025-01-01,7754.82,18300,0.4238,155.1,0
ACC500005,2025-02-01,6940.14,18300,0.3792,138.8,2
ACC500005,2025-03-01,5868.16,18300,0.3207,117.36,0
ACC500005,2025-04-01,6291.69,18300,0.3438,125.83,0
ACC500005,2025-05-01,6578.77,18300,0.3595,131.58,0
ACC500005,2025-06-01,7135.7,18300,0.3899,142.71,0
ACC500005,2025-07-01,8073.83,18300,0.4412,161.48,1
ACC500005,2025-08-01,8640.75,18300,0.4722,172.81,0
ACC500005,2025-09-01,9272.8,18300,0.5067,185.46,0
ACC500006,2024-10-01,8334.9,21900,0.3806,166.7,0
ACC500006,2024-11-01,7511.39,21900,0.343,150.23,0
ACC500006,2024-12-01,7704.05,21900,0.3518,154.08,0
ACC500006,2025-01-01,7779.27,21900,0.3552,155.59,0
ACC500006,2025-02-01,,21900,0.3879,169.9,0
ACC500006,2025-03-01,8635.72,21900,0.3943,172.71,0
ACC500006,2025-04-01,8959.0,21900,0.4091,179.18,3
ACC500006,2025-05-01,9831.64,21900,0.4489,196.63,2
ACC500006,2025-06-01,9954.95,21900,0.4546,199.1,0
ACC500006,2025-07-01,10550.28,21900,0.4817,211.01,0
ACC500006,2025-08-01,9888.34,21900,0.4515,197.77,2
ACC500006,2025-09-01,9284.19,21900,0.4239,185.68,1
ACC500007,2024-10-01,3822.0,17400,0.2197,76.44,0
ACC500007,2024-11-01,4193.55,17400,0.241,83.87,0
ACC500007,2024-12-01,3232.83,17400,0.1858,64.66,0
ACC500007,2025-01-01,2664.04,17400,0.1531,53.28,0
ACC500007,2025-02-01,2271.46,17400,0.1305,45.43,0
ACC500007,2025-03-01,1878.39,17400,0.108,37.57,0
ACC500007,2025-04-01,2082.35,17400,0.1197,41.65,0
ACC500007,2025-05-01,1402.81,17400,0.0806,28.06,0
ACC500007,2025-06-01,2187.99,17400,0.1257,43.76,0
ACC500007,2025-07-01,2915.87,17400,0.1676,58.32,0
ACC500007,2025-08-01,3346.92,17400,0.1924,66.94,0
ACC500007,2025-09-01,3377.71,17400,0.1941,67.55,0
ACC500008,2024-10-01,9911.58,18900,0.5244,198.23,0
ACC500008,2024-11-01,10271.04,18900,0.5434,205.42,2
ACC500008,2024-12-01,10519.62,18900,0.5566,210.39,0
ACC500008,2025-01-01,,18900,0.5755,217.54,0
ACC500008,2025-02-01,10311.06,18900,0.5456,206.22,0
ACC500008,2025-03-01,10080.91,18900,0.5334,201.62,0
ACC500008,2025-04-01,9467.39,18900,0.5009,189.35,0
ACC500008,2025-05-01,9775.58,18900,0.5172,195.51,0
ACC500008,2025-06-01,9778.09,18900,0.5174,195.56,0
ACC500008,2025-07-01,8355.17,18900,0.4421,167.1,0
ACC500008,2025-08-01,8743.42,18900,0.4626,174.87,0
ACC500008,2025-09-01,8907.27,18900,0.4713,178.15,0
ACC500009,2024-10-01,3751.02,12400,0.3025,75.02,0
ACC500009,2024-11-01,4294.91,12400,0.3464,85.9,0
ACC500009,2024-12-01,3993.41,12400,0.322,79.87,1
ACC500009,2025-01-01,4901.1,12400,0.3953,98.02,0
ACC500009,2025-02-01,4746.02,12400,0.3827,94.92,0
ACC500009,2025-03-01,5260.69,12400,0.4242,105.21,0
ACC500009,2025-04-01,4022.28,12400,0.3244,80.45,0
ACC500009,2025-05-01,3439.41,12400,0.2774,68.79,0
ACC500009,2025-06-01,3293.79,12400,0.2656,65.88,0
ACC500009,2025-07-01,2286.52,12400,0.1844,45.73,0
ACC500009,2025-08-01,2584.56,12400,0.2084,51.69,0
ACC500009,2025-09-01,2739.78,12400,0.221,54.8,0
ACC500010,2024-10-01,3192.64,8500,0.3756,63.85,0
ACC500010,2024-11-01,2910.02,8500,0.3424,58.2,0
ACC500010,2024-12-01,2165.98,8500,0.2548,43.32,0
ACC500010,2025-01-01,2620.31,8500,0.3083,52.41,0
ACC500010,2025-02-01,2701.48,8500,0.3178,54.03,0
ACC500010,2025-03-01,2887.14,8500,0.3397,57.74,0
ACC500010,2025-04-01,2721.84,8500,0.3202,54.44,0
ACC500010,2025-05-01,2952.95,8500,0.3474,59.06,0
ACC500010,2025-06-01,2754.46,8500,0.3241,55.09,0
ACC500010,2025-07-01,2809.77,8500,0.3306,56.2,0
ACC500010,2025-08-01,2846.42,8500,0.3349,56.93,3
ACC500010,2025-09-01,3230.4,8500,0.38,64.61,2
ACC500011,2024-10-01,7993.68,11700,0.6832,159.87,0
ACC500011,2024-11-01,8392.65,11700,0.7173,167.85,0
ACC500011,2024-12-01,8656.27,11700,0.7399,173.13,0
ACC500011,2025-01-01,8271.77,11700,0.707,165.44,0
ACC500011,2025-02-01,8108.67,11700,0.693,162.17,0
ACC500011,2025-03-01,7953.56,11700,0.6798,159.07,0
ACC500011,2025-04-01,8528.01,11700,0.7289,170.56,0
ACC500011,2025-05-01,8623.12,11700,0.737,172.46,0
ACC500011,2025-06-01,8963.26,11700,0.7661,179.27,0
ACC500011,2025-07-01,8732.41,11700,0.7464,174.65,0
ACC500011,2025-08-01,8889.09,11700,0.7598,177.78,0
ACC500011,2025-09-01,9499.07,11700,0.8119,189.98,0
ACC500012,2024-10-01,1308.24,18600,0.0703,26.16,0
ACC500012,2024-11-01,1007.7,18600,0.0542,25.0,0
ACC500012,2024-12-01,501.69,18600,0.027,25.0,0
ACC500012,2025-01-01,159.61,18600,0.0086,25.0,0
ACC500012,2025-02-01,0.0,18600,0.0,0.0,0
ACC500012,2025-03-01,0.0,18600,0.0,0.0,0
ACC500012,2025-04-01,489.37,18600,0.0263,25.0,0
ACC500012,2025-05-01,1631.25,18600,0.0877,32.62,0
ACC500012,2025-06-01,1672.34,18600,0.0899,33.45,0
ACC500012,2025-07-01,1149.59,18600,0.0618,25.0,0
ACC500012,2025-08-01,0.0,18600,0.0,0.0,0
ACC500012,2025-09-01,1267.67,18600,0.0682,25.35,7
ACC500013,2024-10-01,4344.94,9700,0.4479,86.9,0
ACC500013,2024-11-01,3583.91,9700,0.3695,71.68,0
ACC500013,2024-12-01,3120.35,9700,0.3217,62.41,0
ACC500013,2025-01-01,3127.04,9700,0.3224,62.54,0
ACC500013,2025-02-01,2845.61,9700,0.2934,56.91,0
ACC500013,2025-03-01,3193.49,9700,0.3292,63.87,0
ACC500013,2025-04-01,3110.52,9700,0.3207,62.21,0
ACC500013,2025-05-01,2984.52,9700,0.3077,59.69,0
ACC500013,2025-06-01,2860.25,9700,0.2949,57.21,0
ACC500013,2025-07-01,2822.04,9700,0.2909,56.44,0
ACC500013,2025-08-01,2659.67,9700,0.2742,53.19,0
ACC500013,2025-09-01,2329.38,9700,0.2401,46.59,1
ACC500014,2024-10-01,5381.15,15300,0.3517,107.62,0
ACC500014,2024-11-01,5625.41,15300,0.3677,112.51,0
ACC500014,2024-12-01,5460.94,15300,0.3569,109.22,0
ACC500014,2025-01-01,5326.85,15300,0.3482,106.54,2
ACC500014,2025-02-01,6041.38,15300,0.3949,120.83,1
ACC500014,2025-03-01,6356.07,15300,0.4154,127.12,2
ACC500014,2025-04-01,7313.78,15300,0.478,146.28,0
ACC500014,2025-05-01,6960.47,15300,0.4549,139.21,0
ACC500014,2025-06-01,6247.52,15300,0.4083,124.95,0
ACC500014,2025-07-01,6857.62,15300,0.4482,137.15,0
ACC500014,2025-08-01,6845.04,15300,0.4474,136.9,0
ACC500014,2025-09-01,6353.7,15300,0.4153,127.07,0
ACC500015,2024-10-01,4493.46,14100,0.3187,89.87,0
ACC500015,2024-11-01,4987.73,14100,0.3537,99.75,0
ACC500015,2024-12-01,4772.93,14100,0.3385,95.46,0
ACC500015,2025-01-01,5373.08,14100,0.3811,107.46,0
ACC500015,2025-02-01,6448.01,14100,0.4573,128.96,2
ACC500015,2025-03-01,6269.67,14100,0.4447,125.39,1
ACC500015,2025-04-01,6659.68,14100,0.4723,133.19,0
ACC500015,2025-05-01,5383.46,14100,0.3818,107.67,0
ACC500015,2025-06-01,4673.86,14100,0.3315,93.48,0
ACC500015,2025-07-01,4725.25,14100,0.3351,94.51,2
ACC500015,2025-08-01,4157.46,14100,0.2949,83.15,0
ACC500015,2025-09-01,5307.57,14100,0.3764,106.15,6
ACC500016,2024-10-01,1118.26,13700,0.0816,25.0,0
ACC500016,2024-11-01,1301.7,13700,0.095,26.03,0
ACC500016,2024-12-01,2341.22,13700,0.1709,46.82,0
ACC500016,2025-01-01,2283.51,13700,0.1667,45.67,0
ACC500016,2025-02-01,2292.83,13700,0.1674,45.86,0
ACC500016,2025-03-01,1453.21,13700,0.1061,29.06,0
ACC500016,2025-04-01,1512.26,13700,0.1104,30.25,0
ACC500016,2025-05-01,1876.94,13700,0.137,37.54,0
ACC500016,2025-06-01,1828.91,13700,0.1335,36.58,0
ACC500016,2025-07-01,1821.52,13700,0.133,36.43,0
ACC500016,2025-08-01,1944.89,13700,0.142,38.9,0
ACC500016,2025-09-01,1369.94,13700,0.1,27.4,0
ACC500017,2024-10-01,3954.67,15500,0.2551,79.09,0
ACC500017,2024-11-01,3824.5,15500,0.2467,76.49,0
ACC500017,2024-12-01,4102.15,15500,0.2647,82.04,0
ACC500017,2025-01-01,2850.19,15500,0.1839,57.0,0
ACC500017,2025-02-01,3486.4,15500,0.2249,69.73,0
ACC500017,2025-03-01,5077.9,15500,0.3276,101.56,0
ACC500017,2025-04-01,3782.58,15500,0.244,75.65,0
ACC500017,2025-05-01,3604.39,15500,0.2325,72.09,0
ACC500017,2025-06-01,3539.08,15500,0.2283,70.78,0
ACC500017,2025-07-01,4081.72,15500,0.2633,81.63,0
ACC500017,2025-08-01,5387.42,15500,0.3476,107.75,0
ACC500017,2025-09-01,5624.81,15500,0.3629,112.5,3
ACC500018,2024-10-01,1741.73,13500,0.129,34.83,2
ACC500018,2024-11-01,2559.33,13500,0.1896,51.19,0
ACC500018,2024-12-01,3196.8,13500,0.2368,63.94,0
ACC500018,2025-01-01,3565.14,13500,0.2641,71.3,0
ACC500018,2025-02-01,3415.58,13500,0.253,68.31,0
ACC500018,2025-03-01,3934.7,13500,0.2915,78.69,0
ACC500018,2025-04-01,3611.75,13500,0.2675,72.23,0
ACC500018,2025-05-01,4028.8,13500,0.2984,80.58,1
ACC500018,2025-06-01,3635.15,13500,0.2693,72.7,0
ACC500018,2025-07-01,3794.02,13500,0.281,75.88,0
ACC500018,2025-08-01,3007.87,13500,0.2228,60.16,0
ACC500018,2025-09-01,3567.05,13500,0.2642,71.34,0
ACC500019,2024-10-01,8267.18,14200,0.5822,165.34,0
ACC500019,2024-11-01,7496.24,14200,0.5279,149.92,3
ACC500019,2024-12-01,8060.93,14200,0.5677,161.22,0
ACC500019,2025-01-01,7510.22,14200,0.5289,150.2,0
ACC500019,2025-02-01,7736.2,14200,0.5448,154.72,0
ACC500019,2025-03-01,7568.76,14200,0.533,151.38,0
ACC500019,2025-04-01,8036.93,14200,0.566,160.74,0
ACC500019,2025-05-01,7905.86,14200,0.5568,158.12,0
ACC500019,2025-06-01,9476.01,14200,0.6673,189.52,0
ACC500019,2025-07-01,10554.14,14200,0.7432,211.08,1
ACC500019,2025-08-01,10375.1,14200,0.7306,207.5,0
ACC500019,2025-09-01,10118.28,14200,0.7126,202.37,0
ACC500020,2024-10-01,4527.64,12700,0.3565,90.55,0
ACC500020,2024-11-01,4247.44,12700,0.3344,84.95,0
ACC500020,2024-12-01,5231.04,12700,0.4119,104.62,0
ACC500020,2025-01-01,5389.53,12700,0.4244,107.79,0
ACC500020,2025-02-01,5435.22,12700,0.428,108.7,0
ACC500020,2025-03-01,5188.46,12700,0.4085,103.77,5
ACC500020,2025-04-01,5637.49,12700,0.4439,112.75,2
ACC500020,2025-05-01,5637.15,12700,0.4439,112.74,0
ACC500020,2025-06-01,5604.17,12700,0.4413,112.08,0
ACC500020,2025-07-01,5566.94,12700,0.4383,111.34,0
ACC500020,2025-08-01,5005.11,12700,0.3941,100.1,1
ACC500020,2025-09-01,5764.99,12700,0.4539,115.3,0
ACC500021,2024-10-01,1922.35,15200,0.1265,38.45,4
ACC500021,2024-11-01,574.94,15200,0.0378,25.0,0
ACC500021,2024-12-01,0.0,15200,0.0,0.0,3
ACC500021,2025-01-01,0.0,15200,0.0,0.0,0
ACC500021,2025-02-01,,15200,0.0,0.0,0
ACC500021,2025-03-01,891.16,15200,0.0586,25.0,1
ACC500021,2025-04-01,866.48,15200,0.057,25.0,0
ACC500021,2025-05-01,1652.27,15200,0.1087,33.05,0
ACC500021,2025-06-01,1421.35,15200,0.0935,28.43,0
ACC500021,2025-07-01,1789.85,15200,0.1178,35.8,0
ACC500021,2025-08-01,1348.77,15200,0.0887,26.98,0
ACC500021,2025-09-01,866.33,15200,0.057,25.0,0
ACC500022,2024-10-01,0.0,28100,0.0,0.0,0
ACC500022,2024-11-01,0.0,28100,0.0,0.0,0
ACC500022,2024-12-01,922.3,28100,0.0328,25.0,0
ACC500022,2025-01-01,1240.32,28100,0.0441,25.0,0
ACC500022,2025-02-01,1450.96,28100,0.0516,29.02,0
ACC500022,2025-03-01,1971.8,28100,0.0702,39.44,0
ACC500022,2025-04-01,3134.15,28100,0.1115,62.68,0
ACC500022,2025-05-01,3190.99,28100,0.1136,63.82,0
ACC500022,2025-06-01,2028.45,28100,0.0722,40.57,2
ACC500022,2025-07-01,2239.64,28100,0.0797,44.79,0
ACC500022,2025-08-01,1295.04,28100,0.0461,25.9,4
ACC500022,2025-09-01,0.0,28100,0.0,0.0,6
ACC500023,2024-10-01,4700.57,21700,0.2166,94.01,0
ACC500023,2024-11-01,5006.92,21700,0.2307,100.14,0
ACC500023,2024-12-01,4318.58,21700,0.199,86.37,0
ACC500023,2025-01-01,5251.11,21700,0.242,105.02,0
ACC500023,2025-02-01,4494.92,21700,0.2071,89.9,0
ACC500023,2025-03-01,5037.7,21700,0.2322,100.75,0
ACC500023,2025-04-01,6150.14,21700,0.2834,123.0,0
ACC500023,2025-05-01,5816.31,21700,0.268,116.33,0
ACC500023,2025-06-01,6819.71,21700,0.3143,136.39,3
ACC500023,2025-07-01,7164.84,21700,0.3302,143.3,0
ACC500023,2025-08-01,7904.33,21700,0.3643,158.09,0
ACC500023,2025-09-01,7178.03,21700,0.3308,143.56,0
ACC500024,2024-10-01,6408.63,14400,0.445,128.17,0
ACC500024,2024-11-01,7285.67,14400,0.5059,145.71,0
ACC500024,2024-12-01,6657.67,14400,0.4623,133.15,0
ACC500024,2025-01-01,6754.98,14400,0.4691,135.1,0
ACC500024,2025-02-01,7564.15,14400,0.5253,151.28,0
ACC500024,2025-03-01,6891.37,14400,0.4786,137.83,0
ACC500024,2025-04-01,7904.87,14400,0.5489,158.1,0
ACC500024,2025-05-01,9116.25,14400,0.6331,182.32,0
ACC500024,2025-06-01,9513.1,14400,0.6606,190.26,2
ACC500024,2025-07-01,9522.78,14400,0.6613,190.46,0
ACC500024,2025-08-01,9416.34,14400,0.6539,188.33,0
ACC500024,2025-09-01,9747.1,14400,0.6769,194.94,1
ACC500025,2024-10-01,4285.21,15300,0.2801,85.7,0
ACC500025,2024-11-01,4359.42,15300,0.2849,87.19,0
ACC500025,2024-12-01,3730.94,15300,0.2439,74.62,0
ACC500025,2025-01-01,3270.92,15300,0.2138,65.42,0
ACC500025,2025-02-01,3650.66,15300,0.2386,73.01,0
ACC500025,2025-03-01,2892.28,15300,0.189,57.85,2
ACC500025,2025-04-01,2198.77,15300,0.1437,43.98,0
ACC500025,2025-05-01,1954.86,15300,0.1278,39.1,0
ACC500025,2025-06-01,1768.54,15300,0.1156,35.37,1
ACC500025,2025-07-01,2386.67,15300,0.156,47.73,0
ACC500025,2025-08-01,1835.48,15300,0.12,36.71,3
ACC500025,2025-09-01,1394.67,15300,0.0912,27.89,0
ACC500026,2024-10-01,4401.51,15300,0.2877,88.03,0
ACC500026,2024-11-01,5362.38,15300,0.3505,107.25,0
ACC500026,2024-12-01,4689.08,15300,0.3065,93.78,0
ACC500026,2025-01-01,4886.64,15300,0.3194,97.73,0
ACC500026,2025-02-01,5066.11,15300,0.3311,101.32,0
ACC500026,2025-03-01,4346.77,15300,0.2841,86.94,0
ACC500026,2025-04-01,4742.22,15300,0.3099,94.84,0
ACC500026,2025-05-01,4581.69,15300,0.2995,91.63,0
ACC500026,2025-06-01,5548.22,15300,0.3626,110.96,0
ACC500026,2025-07-01,6159.61,15300,0.4026,123.19,0
ACC500026,2025-08-01,6159.3,15300,0.4026,123.19,0
ACC500026,2025-09-01,6026.87,15300,0.3939,120.54,0
ACC500027,2024-10-01,9642.04,18000,0.5357,192.84,0
ACC500027,2024-11-01,10723.02,18000,0.5957,214.46,0
ACC500027,2024-12-01,11165.26,18000,0.6203,223.31,0
ACC500027,2025-01-01,11333.9,18000,0.6297,226.68,4
ACC500027,2025-02-01,11022.91,18000,0.6124,220.46,0
ACC500027,2025-03-01,11308.9,18000,0.6283,226.18,0
ACC500027,2025-04-01,10640.61,18000,0.5911,212.81,6
ACC500027,2025-05-01,10568.81,18000,0.5872,211.38,0
ACC500027,2025-06-01,10152.39,18000,0.564,203.05,0
ACC500027,2025-07-01,11784.26,18000,0.6547,235.69,0
ACC500027,2025-08-01,12842.62,18000,0.7135,256.85,5
ACC500027,2025-09-01,13608.01,18000,0.756,272.16,0
ACC500028,2024-10-01,3956.2,19000,0.2082,79.12,0
ACC500028,2024-11-01,3571.15,19000,0.188,71.42,0
ACC500028,2024-12-01,,19000,0.1648,62.64,0
ACC500028,2025-01-01,5369.33,19000,0.2826,107.39,0
ACC500028,2025-02-01,6869.53,19000,0.3616,137.39,0
ACC500028,2025-03-01,7100.17,19000,0.3737,142.0,1
ACC500028,2025-04-01,6843.01,19000,0.3602,136.86,0
ACC500028,2025-05-01,6181.8,19000,0.3254,123.64,0
ACC500028,2025-06-01,5710.76,19000,0.3006,114.22,0
ACC500028,2025-07-01,6250.59,19000,0.329,125.01,5
ACC500028,2025-08-01,8008.41,19000,0.4215,160.17,0
ACC500028,2025-09-01,7918.12,19000,0.4167,158.36,0
ACC500029,2024-10-01,3132.35,25900,0.1209,62.65,0
ACC500029,2024-11-01,3553.8,25900,0.1372,71.08,0
ACC500029,2024-12-01,5162.24,25900,0.1993,103.24,0
ACC500029,2025-01-01,4328.25,25900,0.1671,86.56,6
ACC500029,2025-02-01,3382.21,25900,0.1306,67.64,0
ACC500029,2025-03-01,4481.95,25900,0.173,89.64,0
ACC500029,2025-04-01,,25900,0.2128,110.24,0
ACC500029,2025-05-01,4275.6,25900,0.1651,85.51,0
ACC500029,2025-06-01,3725.11,25900,0.1438,74.5,0
ACC500029,2025-07-01,5475.01,25900,0.2114,109.5,0
ACC500029,2025-08-01,,25900,0.2279,118.03,0
ACC500029,2025-09-01,6716.99,25900,0.2593,134.34,0
ACC500030,2024-10-01,6530.01,15300,0.4268,130.6,0
ACC500030,2024-11-01,5682.96,15300,0.3714,113.66,0
ACC500030,2024-12-01,6683.94,15300,0.4369,133.68,0
ACC500030,2025-01-01,6400.87,15300,0.4184,128.02,0
ACC500030,2025-02-01,5946.41,15300,0.3887,118.93,0
ACC500030,2025-03-01,6076.33,15300,0.3971,121.53,0
ACC500030,2025-04-01,5911.11,15300,0.3863,118.22,0
ACC500030,2025-05-01,4732.25,15300,0.3093,94.65,0
ACC500030,2025-06-01,5278.05,15300,0.345,105.56,0
ACC500030,2025-07-01,5808.52,15300,0.3796,116.17,0
ACC500030,2025-08-01,5177.32,15300,0.3384,103.55,0
ACC500030,2025-09-01,5161.74,15300,0.3374,103.23,7
ACC500031,2024-10-01,6236.54,16200,0.385,124.73,0
ACC500031,2024-11-01,5775.26,16200,0.3565,115.51,0
ACC500031,2024-12-01,5681.56,16200,0.3507,113.63,0
ACC500031,2025-01-01,4826.74,16200,0.2979,96.53,0
ACC500031,2025-02-01,4946.88,16200,0.3054,98.94,2
ACC500031,2025-03-01,4991.01,16200,0.3081,99.82,0
ACC500031,2025-04-01,5618.29,16200,0.3468,112.37,0
ACC500031,2025-05-01,6173.79,16200,0.3811,123.48,0
ACC500031,2025-06-01,6531.17,16200,0.4032,130.62,0
ACC500031,2025-07-01,6786.65,16200,0.4189,135.73,0
ACC500031,2025-08-01,6739.18,16200,0.416,134.78,0
ACC500031,2025-09-01,7134.17,16200,0.4404,142.68,0
ACC500032,2024-10-01,4150.67,13800,0.3008,83.01,0
ACC500032,2024-11-01,,13800,0.2805,77.42,1
ACC500032,2024-12-01,4121.34,13800,0.2986,82.43,0
ACC500032,2025-01-01,,13800,0.3121,86.14,7
ACC500032,2025-02-01,3132.56,13800,0.227,62.65,0
ACC500032,2025-03-01,2756.07,13800,0.1997,55.12,0
ACC500032,2025-04-01,3157.19,13800,0.2288,63.14,0
ACC500032,2025-05-01,2639.52,13800,0.1913,52.79,0
ACC500032,2025-06-01,2430.81,13800,0.1761,48.62,0
ACC500032,2025-07-01,1766.16,13800,0.128,35.32,0
ACC500032,2025-08-01,1302.19,13800,0.0944,26.04,0
ACC500032,2025-09-01,1011.43,13800,0.0733,25.0,0
ACC500033,2024-10-01,2028.99,12300,0.165,40.58,2
ACC500033,2024-11-01,940.9,12300,0.0765,25.0,0
ACC500033,2024-12-01,1238.96,12300,0.1007,25.0,0
ACC500033,2025-01-01,900.54,12300,0.0732,25.0,0
ACC500033,2025-02-01,359.7,12300,0.0292,25.0,0
ACC500033,2025-03-01,0.0,12300,0.0,0.0,0
ACC500033,2025-04-01,0.0,12300,0.0,0.0,1
ACC500033,2025-05-01,0.0,12300,0.0,0.0,0
ACC500033,2025-06-01,955.65,12300,0.0777,25.0,0
ACC500033,2025-07-01,0.0,12300,0.0,0.0,0
ACC500033,2025-08-01,0.0,12300,0.0,0.0,0
ACC500033,2025-09-01,52.6,12300,0.0043,25.0,0
ACC500034,2024-10-01,12683.76,22600,0.5612,253.68,0
ACC500034,2024-11-01,12225.89,22600,0.541,244.52,0
ACC500034,2024-12-01,13231.46,22600,0.5855,264.63,0
ACC500034,2025-01-01,,22600,0.571,258.08,0
ACC500034,2025-02-01,12796.35,22600,0.5662,255.93,0
ACC500034,2025-03-01,13371.81,22600,0.5917,267.44,3
ACC500034,2025-04-01,15483.66,22600,0.6851,309.67,0
ACC500034,2025-05-01,14559.6,22600,0.6442,291.19,1
ACC500034,2025-06-01,13458.21,22600,0.5955,269.16,0
ACC500034,2025-07-01,13236.73,22600,0.5857,264.73,0
ACC500034,2025-08-01,12560.33,22600,0.5558,251.21,0
ACC500034,2025-09-01,13193.09,22600,0.5838,263.86,0
ACC500035,2024-10-01,4855.68,21000,0.2312,97.11,0
ACC500035,2024-11-01,5435.97,21000,0.2589,108.72,3
ACC500035,2024-12-01,7024.99,21000,0.3345,140.5,0
ACC500035,2025-01-01,7731.25,21000,0.3682,154.62,1
ACC500035,2025-02-01,7677.84,21000,0.3656,153.56,0
ACC500035,2025-03-01,6821.57,21000,0.3248,136.43,1
ACC500035,2025-04-01,6990.85,21000,0.3329,139.82,0
ACC500035,2025-05-01,6939.72,21000,0.3305,138.79,0
ACC500035,2025-06-01,6861.05,21000,0.3267,137.22,0
ACC500035,2025-07-01,6685.41,21000,0.3184,133.71,1
ACC500035,2025-08-01,4961.34,21000,0.2363,99.23,0
ACC500035,2025-09-01,6020.45,21000,0.2867,120.41,0
ACC500036,2024-10-01,0.0,16700,0.0,0.0,0
ACC500036,2024-11-01,0.0,16700,0.0,0.0,0
ACC500036,2024-12-01,616.5,16700,0.0369,25.0,0
ACC500036,2025-01-01,986.89,16700,0.0591,25.0,0
ACC500036,2025-02-01,641.05,16700,0.0384,25.0,0
ACC500036,2025-03-01,1825.52,16700,0.1093,36.51,0
ACC500036,2025-04-01,1775.59,16700,0.1063,35.51,0
ACC500036,2025-05-01,631.74,16700,0.0378,25.0,0
ACC500036,2025-06-01,1028.79,16700,0.0616,25.0,0
ACC500036,2025-07-01,937.06,16700,0.0561,25.0,0
ACC500036,2025-08-01,887.59,16700,0.0531,25.0,0
ACC500036,2025-09-01,1481.32,16700,0.0887,29.63,0
ACC500037,2024-10-01,4878.46,17500,0.2788,97.57,0
ACC500037,2024-11-01,4079.51,17500,0.2331,81.59,0
ACC500037,2024-12-01,4660.91,17500,0.2663,93.22,3
ACC500037,2025-01-01,5901.37,17500,0.3372,118.03,0
ACC500037,2025-02-01,6575.18,17500,0.3757,131.5,0
ACC500037,2025-03-01,6071.05,17500,0.3469,121.42,0
