account_id,customer_id,card_type,credit_limit,open_date,account_status,balance,utilization_ratio,delinquency_count,default_flag
ACC502846,CUST101937,Standard,15800,2023-12-12,Active,6168.72,0.3904,1,0
ACC502420,CUST101651,Standard,16500,2025-12-09,Closed,4195.08,0.2542,1,0
ACC502603,CUST101773,Standard,15500,2026-07-13,Active,4921.88,0.3175,0,0
ACC501745,CUST101195,Platinum,6200,2024-08-08,Active,3420.61,0.5517,0,0
ACC500688,CUST100460,Gold,15200,2017-11-20,Active,2472.05,0.1626,2,0
ACC502939,CUST102002,Standard,17300,2026-06-14,Active,11789.92,0.6815,1,1
ACC502438,CUST101663,Standard,8600,2022-01-03,Active,3168.58,0.3684,1,0
ACC501537,CUST101040,Standard,19100,2021-01-21,Active,10391.84,0.5441,0,0
ACC501410,CUST100953,Gold,14100,2021-11-09,Active,8132.65,-0.5768,1,0
ACC500861,CUST100583,Standard,14000,2024-10-06,Active,507.65,0.0363,0,0
ACC503080,CUST102097,Standard,14900,2020-09-09,Active,8901.33,0.5974,0,0
ACC502147,CUST101472,Standard,5600,2023-05-17,Active,1728.16,0.3086,1,0
ACC502554,CUST101741,Platinum,17600,2022-05-28,Active,5497.79,0.3124,0,0
ACC502446,CUST101667,Secured,17700,2026-02-10,Closed,3042.34,0.1719,0,0
ACC500907,CUST100612,Platinum,24200,2024-07-26,Active,12915.6,0.5337,1,0
ACC502148,CUST101473,Standard,19300,2025-10-12,Active,12155.07,0.6298,1,0
ACC503028,CUST102061,Platinum,18700,2022-06-25,Active,4419.18,0.2363,1,0
ACC500304,CUST100209,Standard,18700,2023-03-27,Active,8338.14,0.4459,1,1
ACC502325,CUST101588,Standard,15700,2024-01-20,Active,12483.88,0.7952,2,0
ACC502901,CUST101975,Secured,13600,2021-06-06,Active,4023.89,0.2959,0,0
ACC502135,CUST101465,Standard,18900,2022-02-23,Active,4629.65,0.245,2,0
ACC500959,CUST100649,Standard,31800,2019-03-10,Active,14756.27,0.464,2,0
ACC500184,CUST100122,Standard,15100,2019-04-11,Closed,1396.08,0.0925,0,0
ACC500362,CUST100249,Standard,13000,2026-08-05,Active,0.0,0.0,1,0
ACC500150,CUST100100,Gold,21500,2025-11-12,Active,8931.27,0.4154,2,0
ACC502035,CUST101394,Standard,8800,2025-08-13,Active,6211.26,0.7058,1,0
ACC500810,CUST100549,Platinum,14600,2017-12-24,Active,1442.47,0.0988,1,0
ACC502869,CUST101952,Gold,17800,2019-01-19,Active,7191.74,0.404,1,0
ACC500796,CUST100537,Gold,11200,2020-08-29,Active,2691.85,0.2403,1,0
ACC501004,CUST100680,Standard,19700,2021-06-02,Active,0.0,0.0,0,0
ACC500961,CUST100650,Platinum,12100,2023-04-23,Closed,7381.88,0.6101,0,0
ACC502741,CUST101864,secured,18700,2026-01-08,,13943.57,0.7456,4,0
ACC500344,CUST100236,Standard,12900,2025-11-17,Active,5643.1,0.4374,1,0
ACC503539,CUST102409,Gold,17900,2015-09-08,Closed,6661.59,0.3722,0,0
ACC501011,CUST100684,Secured,16100,2025-12-01,Active,6379.02,0.3962,1,0
ACC502065,CUST101417,Gold,10900,2025-01-11,Closed,4777.63,0.4383,0,0
ACC501654,CUST101128,Standard,16500,2018-01-25,Closed,4468.4,0.2708,2,0
ACC502197,CUST101501,Standard,19500,2026-08-29,Active,0.0,0.0,1,0
ACC502081,CUST101428,Platinum,21100,2026-04-03,Active,6373.11,0.302,1,0
ACC503516,CUST102396,Gold,9100,2020-07-18,,7802.32,0.8574,4,1
ACC501472,CUST100998,Gold,13400,2024-09-22,Active,1831.29,0.1367,3,0
ACC501646,CUST101121,Platinum,19300,2026-06-28,Active,3007.7,0.1558,1,0
ACC500329,CUST100225,gold,18600,2025-11-06,Closed,10499.96,0.5645,1,1
ACC503501,CUST102387,Standard,8800,2023-12-22,Active,4238.19,0.4816,3,1
ACC502841,CUST101934,Gold,31900,2014-12-05,Active,10105.5,0.3168,1,0
ACC502566,CUST101747,Gold,12700,2026-06-16,Closed,7448.3,0.5865,1,0
ACC503417,CUST102328,Secured,10700,2025-09-17,Active,0.0,0.0,1,0
ACC500690,CUST100461,Secured,21200,2016-02-20,Active,5615.94,0.2649,1,0
ACC501741,CUST101192,Standard,8100,2013-11-28,Active,2708.35,0.3344,1,0
ACC501488,CUST101009,Standard,13200,2026-01-25,Active,3721.67,0.2819,0,0
ACC501073,CUST100728,Standard,4500,2022-12-24,Frozen,1309.22,0.2909,0,0
ACC503401,CUST102319,Gold,12700,2026-02-21,Active,7488.02,0.5896,3,0
ACC501477,CUST101002,Standard,22700,2026-07-09,Active,10088.7,0.4444,1,0
ACC502366,CUST101617,Standard,10000,2018-01-18,Active,6127.57,0.6128,0,0
ACC502837,CUST101932,Gold,17800,2024-07-04,Active,4313.8,0.2423,2,0
ACC501629,CUST101108,gold,11500,2026-05-23,Active,2439.93,0.2122,2,0
ACC503348,CUST102286,Gold,10700,2022-07-13,Active,3998.25,0.3737,0,0
ACC501342,CUST100906,Standard,11800,2026-06-01,Active,5945.37,0.5038,1,0
ACC500115,CUST100079,Gold,16700,2016-09-18,Active,6808.07,0.4077,3,0
ACC502060,CUST101414,Standard,16000,2021-10-19,Active,7038.83,0.4399,0,0
ACC502151,CUST101475,Standard,15000,2019-01-21,Active,4763.68,0.3176,1,0
ACC503150,CUST102150,platinum,7300,2024-11-01,Active,1807.52,0.2476,1,0
ACC502947,CUST102007,Platinum,10200,2026-03-07,Active,6174.41,0.6053,0,0
ACC501061,CUST100721,Gold,11200,2020-07-21,Active,4318.78,0.3856,1,0
ACC502468,CUST101681,platinum,12900,2023-09-16,Active,4496.62,0.3486,2,0
ACC501738,CUST101190,Gold,15600,2022-09-13,Active,7306.68,0.4684,1,0
ACC502586,CUST101761,Gold,10600,2015-11-29,Active,204.03,0.0192,1,0
ACC500992,CUST100671,Secured,19100,2026-06-26,Active,6759.23,0.3539,0,0
ACC502629,CUST101791,Standard,9700,2026-03-29,Active,3368.43,0.3473,1,0
ACC501151,CUST100775,Standard,15500,2020-07-16,Active,9888.39,0.638,0,0
ACC500560,CUST100382,Standard,13600,2014-09-09,Active,5522.81,0.4061,1,0
ACC501904,CUST101301,Standard,14000,2023-07-07,Active,7890.53,0.5636,1,1
ACC502490,CUST101695,standard,18600,2021-02-24,Active,7771.72,0.4178,1,0
ACC501767,CUST101210,Gold,16800,2025-10-28,Closed,3246.6,0.1932,2,1
ACC501096,CUST100740,Gold,19600,2024-07-24,Active,414.27,0.0211,2,0
ACC502518,CUST101715,Standard,5300,2022-05-29,Active,2247.55,0.4241,1,0
ACC500674,CUST100450,Standard,12100,2020-06-26,Active,5785.94,0.4782,0,0
ACC500835,CUST100566,Secured,22200,2018-08-21,Active,7756.44,0.3494,1,0
ACC501490,CUST101010,Gold,17000,2018-01-11,Active,7164.99,0.4215,3,0
ACC502802,CUST101907,gold,11900,2026-05-02,Active,485.55,0.0408,0,0
ACC502803,CUST101908,Standard,6500,2024-09-18,Frozen,4329.26,0.666,1,0
ACC500709,CUST100475,Secured,14000,2026-07-17,Active,1270.27,0.0907,1,0
ACC500138,CUST100095,Standard,12600,2025-11-28,Active,5451.58,0.4327,3,1
ACC502190,CUST101498,Standard,11700,2015-11-24,Active,7454.81,-0.6372,1,0
ACC500705,CUST100472,Standard,16800,2026-04-23,Closed,953.27,0.0567,0,0
ACC502657,CUST101807,Standard,18700,2021-12-17,Closed,7558.83,0.4042,1,0
ACC500134,CUST100092,Platinum,21900,2019-03-23,,8315.41,0.3797,0,0
ACC501842,CUST101259,Standard,17900,2022-04-19,Frozen,4064.9,0.2271,0,0
ACC501955,CUST101337,Platinum,13300,2026-08-23,Active,4454.49,0.3349,0,0
ACC500217,CUST100150,Standard,22900,2022-08-22,Active,2336.37,0.102,0,0
ACC502105,CUST101445,Standard,16600,2021-06-01,Active,6006.47,0.3618,1,0
ACC500964,CUST100652,standard,11300,2020-10-24,Active,2857.95,0.2529,1,0
ACC502402,CUST101640,Standard,23500,2022-09-11,Active,19313.55,0.8219,2,0
ACC501137,CUST100766,Standard,11300,2024-11-03,Active,1249.26,0.1106,1,0
ACC502783,CUST101893,Standard,17600,2018-05-30,Active,1378.95,0.0783,1,0
ACC502073,CUST101424,standard,18300,2021-10-04,Active,4120.07,0.2251,1,0
ACC501091,CUST100737,Standard,15700,2021-08-14,Active,7307.6,0.4655,2,1
ACC502351,CUST101606,Gold,11100,2022-06-13,Active,3060.5,0.2757,1,0
ACC500920,CUST100623,Gold,20300,2025-04-14,Active,633.15,0.0312,1,0
ACC502376,CUST101622,Gold,20700,2017-09-08,Active,1562.13,0.0755,0,0
ACC502440,CUST101664,Standard,13300,2023-08-10,Active,3454.29,0.2597,0,0
ACC500782,CUST100525,Standard,20400,2022-12-03,Active,11656.01,0.5714,0,0
ACC503134,CUST102137,Standard,17500,2026-06-22,Active,5819.43,0.3325,1,0
ACC501469,CUST100995,Gold,10400,2023-05-26,Active,5976.08,0.5746,2,0
ACC500052,CUST100033,gold,26800,2019-09-27,Active,7305.44,0.2726,0,0
ACC500524,CUST100358,Secured,13200,2017-01-08,Active,10238.6,0.7757,3,0
ACC500623,CUST100420,Gold,8900,2024-06-21,Active,994.62,0.1118,0,0
ACC503009,CUST102047,Standard,19800,2018-05-31,Active,14503.41,0.7325,1,0
ACC500807,CUST100547,Standard,15700,2025-05-28,Active,5484.03,0.3493,2,0
ACC502207,CUST101508,platinum,31100,2024-07-08,Active,6183.7,0.1988,1,0
ACC500614,CUST100417,Gold,8800,2024-11-25,Closed,5111.09,0.5808,0,0
ACC500736,CUST100494,Standard,13200,2021-11-29,Active,7843.97,0.5942,2,0
ACC500405,CUST100277,Standard,16300,2015-09-10,Active,9035.17,0.5543,2,0
ACC501899,CUST101297,Standard,13700,2025-07-06,Active,6186.25,0.4516,1,0
ACC500579,CUST100394,Gold,11000,2022-03-05,Active,3225.89,0.2933,1,0
ACC502647,CUST101801,Gold,19200,2022-11-25,Active,9943.25,0.5179,4,1
ACC500488,CUST100334,Platinum,14700,2025-07-12,Closed,2400.24,0.1633,1,0
ACC500295,CUST100203,Secured,14400,2026-05-30,Active,9746.85,0.6769,3,0
ACC502775,CUST101889,Gold,11600,2021-11-11,Closed,5438.72,0.4689,3,0
ACC503274,CUST102237,Gold,9500,2024-11-24,Active,5356.8,0.5639,1,0
ACC501928,CUST101319,Gold,20800,2023-12-14,Active,12344.31,0.5935,3,0
ACC501148,CUST100773,platinum,12300,2021-12-28,Active,1606.02,0.1306,3,0
ACC501516,CUST101025,Gold,12700,2020-08-01,Active,3217.4,0.2533,0,0
ACC501204,CUST100808,standard,7800,2022-01-23,Active,1528.86,0.196,0,0
ACC501686,CUST101151,Standard,15900,2025-01-17,Active,10811.84,0.68,2,0
ACC503441,CUST102344,Standard,27600,2025-06-17,Active,10731.83,0.3888,0,0
ACC502264,CUST101544,Platinum,16200,2016-10-23,Active,4563.63,0.2817,0,0
ACC502339,CUST101598,Gold,28700,2023-05-09,Active,11477.24,0.3999,0,0
ACC502953,CUST102011,Gold,27900,2026-09-02,Active,13064.35,0.4683,0,0
ACC500741,CUST100497,Gold,8700,2020-07-18,Active,1955.29,0.2247,0,1
ACC503023,CUST102057,Gold,14200,2026-05-24,Active,5370.93,0.3782,2,0
ACC502880,CUST101960,Gold,14200,2019-08-23,Active,9252.7,0.6516,2,0
ACC503378,CUST102305,Standard,20900,2024-01-26,Active,7044.15,0.337,2,0
ACC501496,CUST101013,Platinum,17600,2024-09-26,Active,12713.89,0.7224,2,0
ACC500328,CUST100225,Gold,11800,2026-05-31,Active,3414.91,0.2894,0,0
ACC502503,CUST101705,Gold,18800,2014-09-28,Active,3843.21,0.2044,0,0
ACC500946,CUST100640,Gold,28900,2020-06-08,Closed,17971.05,0.6218,2,0
ACC503039,CUST102068,Gold,9300,2022-08-15,Active,6011.31,0.6464,1,0
ACC503518,CUST102398,Secured,23000,2019-04-04,Active,9306.23,0.4046,0,0
ACC502876,CUST101956,gold,22100,2023-05-23,Active,7319.46,0.3312,1,0
ACC503081,CUST102097,Standard,11600,2021-12-17,Active,9611.71,0.8286,1,0
ACC502515,CUST101712,Gold,13000,2025-03-24,Active,3857.87,0.2968,0,0
ACC503546,CUST102414,Gold,11000,2026-04-23,Active,1320.37,0.12,3,0
ACC500698,CUST100467,gold,16200,2026-07-02,Active,1716.19,0.1059,0,0
ACC502118,CUST101453,Platinum,24100,2021-12-18,Active,15333.07,0.6362,4,1
ACC501873,CUST101278,Standard,17200,2021-11-19,Active,9495.3,0.5521,0,0
ACC503590,CUST102444,Standard,11500,2024-09-10,Active,4427.14,0.385,0,0
ACC501850,CUST101264,Gold,9400,2019-09-16,Active,0.0,0.0,0,0
ACC500065,CUST100044,Standard,9000,2025-10-19,Closed,5161.34,0.5735,1,0
ACC500256,CUST100176,Standard,21800,2018-08-17,Active,7009.71,0.3215,1,0
ACC502664,CUST101812,Standard,8600,2026-08-14,Frozen,3887.16,0.452,1,0
ACC502805,CUST101910,platinum,6900,2018-05-28,Active,4554.46,0.6601,0,0
ACC500899,CUST100607,Standard,6100,2016-08-04,Active,1296.32,0.2125,0,0
ACC502589,CUST101762,Platinum,14600,2025-11-14,Active,11355.68,0.7778,1,0
ACC500738,CUST100495,Standard,19900,2026-01-14,Active,8603.18,0.4323,1,0
ACC500772,CUST100520,platinum,24600,2026-08-11,Active,10872.32,0.442,1,1
ACC503358,CUST102293,Gold,26100,2023-04-02,Active,8915.69,0.3416,1,0
ACC501618,CUST101100,Platinum,25900,2020-01-11,Active,15007.75,0.5794,1,0
ACC500271,CUST100187,Standard,15200,2025-10-20,Active,3070.81,0.202,2,0
ACC502744,CUST101865,Platinum,20700,2025-04-16,Active,4306.62,0.208,0,0
ACC502137,CUST101467,standard,11800,2023-11-06,Active,9912.4,0.84,4,0
ACC502913,CUST101984,Standard,11500,2023-05-02,Active,5243.7,0.456,0,0
ACC502104,CUST101444,Gold,15800,2025-09-19,Closed,0.0,0.0,1,0
ACC502557,CUST101742,Standard,15800,2026-07-07,Active,7841.58,0.4963,2,0
ACC503365,CUST102296,Gold,13600,2023-12-06,Active,12489.03,0.9183,1,0
ACC502935,CUST102000,Secured,14700,2023-07-05,Active,9681.32,0.6586,0,0
ACC503561,CUST102425,Standard,18900,2024-11-23,Active,10506.08,0.5559,3,0
ACC500076,CUST100050,Gold,17000,2021-12-27,Active,6551.34,0.3854,0,0
ACC501773,CUST101213,Gold,21700,2020-10-21,Closed,15191.62,0.7001,1,0
ACC503524,CUST102401,Standard,10900,2019-04-03,,6888.69,0.632,2,0
ACC502718,CUST101849,Standard,15300,2022-07-15,Active,7384.94,0.4827,0,0
ACC502426,CUST101655,Standard,11600,2024-09-04,Active,7217.28,0.6222,0,0
ACC502797,CUST101904,Platinum,16600,2020-02-17,Active,6500.35,0.3916,2,1
ACC500639,CUST100429,Gold,17600,2025-04-16,Active,381.73,0.0217,0,0
ACC500436,CUST100299,Secured,15700,2026-07-18,Active,5514.47,0.3512,2,0
ACC502467,CUST101680,Standard,19000,2023-12-10,Active,2230.13,0.1174,1,0
ACC501976,CUST101350,Gold,18300,2024-12-10,Active,9590.68,0.5241,1,0
ACC503369,CUST102299,Gold,11600,2022-02-10,Active,1164.6,0.1004,0,0
ACC502475,CUST101687,platinum,16600,2025-11-17,Active,0.0,0.0,0,0
ACC501044,CUST100707,Standard,5500,2023-04-27,Active,3002.32,0.5459,1,0
ACC503653,CUST102482,Standard,11400,2021-03-16,Frozen,6081.28,0.5334,1,0
ACC500453,CUST100312,Secured,12500,2019-12-02,Active,5253.82,0.4203,2,0
ACC500699,CUST100468,Platinum,17400,2021-07-29,Active,7457.08,0.4286,3,1
ACC502708,CUST101843,Gold,15000,2024-10-27,Active,6511.18,0.4341,0,0
ACC500484,CUST100332,Standard,14100,2020-04-18,Active,5095.27,0.3614,1,0
ACC500107,CUST100075,Gold,17500,2021-11-30,Active,0.0,0.0,0,0
ACC501461,CUST100991,Platinum,16400,2025-01-16,Active,13325.35,0.8125,0,0
ACC501880,CUST101283,Secured,15000,2025-04-18,Frozen,10897.24,0.7265,0,0
ACC501605,CUST101089,Standard,19800,2022-08-03,Active,17235.25,0.8705,2,0
ACC501682,CUST101149,Platinum,10400,2016-12-17,Active,4920.74,0.4731,2,0
ACC503519,CUST102399,Secured,18800,2024-03-22,Active,4780.48,0.2543,0,0
ACC500266,CUST100184,standard,15800,2022-09-26,Active,12531.28,0.7931,2,0
ACC500369,CUST100254,Standard,18500,2026-07-02,Active,5351.23,0.2893,0,0
ACC501822,CUST101246,Standard,17500,2024-09-19,Active,10061.73,0.575,1,0
ACC502771,CUST101886,Standard,16600,2020-05-08,Active,11470.75,0.691,0,0
ACC503459,CUST102358,Gold,24900,2025-06-30,Active,12845.97,0.5159,0,0
ACC503304,CUST102258,Gold,15000,2026-02-04,Active,4857.85,0.3239,0,0
ACC503637,CUST102472,Standard,21900,2026-05-03,Active,0.0,0.0,0,0
ACC500572,CUST100390,Gold,14500,2020-06-28,Active,782.41,0.054,1,0
ACC503140,CUST102142,standard,11200,2023-06-06,Active,4445.41,0.3969,3,0
ACC502820,CUST101921,Standard,20500,2016-08-26,Active,0.0,0.0,1,0
ACC502307,CUST101575,Gold,12000,2026-03-26,,5371.61,0.4476,1,0
ACC500894,CUST100604,Gold,7200,2025-05-11,Active,5647.35,0.7844,1,0
ACC500246,CUST100169,Platinum,14400,2020-06-25,Active,6265.12,0.4351,0,0
ACC502168,CUST101485,Secured,17800,2022-02-17,Active,6390.77,0.359,0,0
ACC501306,CUST100881,platinum,7600,2025-10-02,Active,3287.55,0.4326,1,0
ACC500425,CUST100292,Standard,11900,2024-07-24,Active,2023.89,0.1701,4,0
ACC503317,CUST102266,Gold,12900,2024-09-02,Active,8589.34,0.6658,1,0
ACC503601,CUST102451,Standard,13800,2021-09-18,,4933.55,0.3575,1,0
ACC501665,CUST101136,Standard,15600,2026-01-17,Active,3699.79,0.2372,2,0
ACC502483,CUST101691,Standard,18600,2024-04-17,Active,1013.21,0.0545,1,0
ACC502498,CUST101701,secured,14800,2024-10-01,Active,4283.61,0.2894,0,0
ACC502561,CUST101745,Standard,24800,2023-10-12,Active,4835.53,0.195,1,0
ACC500611,CUST100414,Standard,23900,2026-09-01,Active,11752.79,0.4917,2,0
ACC501942,CUST101329,Standard,10600,2026-08-27,Active,2978.39,0.281,1,0
ACC502943,CUST102005,Standard,6700,2025-06-13,Active,2083.68,0.311,2,0
ACC500795,CUST100536,platinum,15900,2026-03-12,Active,3210.67,0.2019,2,0
ACC500057,CUST100037,Platinum,6700,2014-03-23,Active,2181.05,0.3255,2,0
ACC503169,CUST102164,Standard,14500,2021-04-27,Active,578.58,0.0399,0,0
ACC503623,CUST102463,Gold,13100,2026-03-27,Active,4298.0,0.3281,1,0
ACC501894,CUST101294,Gold,19600,2023-11-13,Active,1214.99,0.062,0,0
ACC502525,CUST101719,Secured,16900,2020-12-07,Active,9197.82,0.5442,0,0
ACC501548,CUST101049,Standard,8900,2014-08-22,Active,4510.89,0.5068,1,0
ACC501255,CUST100846,Standard,9900,2025-09-05,Active,4219.07,0.4262,0,0
ACC503620,CUST102460,Gold,8500,2025-06-22,Active,3990.42,0.4695,3,0
ACC500135,CUST100093,Gold,10600,2024-10-11,Active,2077.41,0.196,2,0
ACC503353,CUST102290,Secured,10200,2025-08-11,Active,4880.54,0.4785,1,0
ACC500391,CUST100268,Standard,10200,2025-04-13,Active,5646.03,0.5535,0,0
ACC500294,CUST100203,Gold,17300,2026-08-25,Active,9871.98,0.5706,3,1
ACC502993,CUST102037,Standard,7300,2025-07-03,Active,3211.04,0.4399,1,0
ACC502344,CUST101602,Standard,8500,2019-03-02,Closed,4015.23,0.4724,1,0
ACC503289,CUST102247,Standard,12500,2017-05-08,Active,7153.73,0.5723,0,0
ACC500545,CUST100371,Gold,17400,2026-08-17,Active,11032.92,0.6341,0,0
ACC502343,CUST101601,Standard,19700,2021-05-18,Active,13014.64,0.6606,0,0
ACC501482,CUST101005,Gold,10600,2026-02-26,Frozen,6215.9,0.5864,0,0
ACC503659,CUST102488,Gold,15600,2024-11-25,Active,0.0,0.0,0,0
ACC501839,CUST101258,Platinum,15300,2025-08-28,Closed,7943.13,0.5192,0,0
ACC501128,CUST100761,gold,11200,2020-07-18,Active,7412.05,0.6618,4,0
ACC500542,CUST100368,Gold,5200,2024-07-07,Closed,181.05,0.0348,1,0
ACC500024,CUST100016,Standard,14400,2013-04-23,Active,10116.15,0.7025,2,0
ACC500549,CUST100373,Gold,8100,2025-06-17,Closed,7006.71,0.865,4,0
ACC502064,CUST101417,Gold,9200,2023-12-06,Active,2530.85,0.2751,1,0
ACC501411,CUST100954,Standard,18300,2024-12-19,Active,9433.45,0.5155,0,0
ACC503223,CUST102200,Gold,15700,2020-12-14,Active,2665.14,0.1698,0,0
ACC502174,CUST101488,Secured,13900,2019-12-10,Active,0.0,0.0,0,0
ACC502665,CUST101812,Platinum,13600,2026-07-17,Active,5399.81,0.397,1,0
ACC502976,CUST102025,Platinum,8200,2020-02-03,Active,4639.74,0.5658,0,0
ACC502145,CUST101471,Standard,19100,2018-01-17,Active,9892.84,0.5179,1,0
ACC500100,CUST100071,Standard,10400,2026-07-24,Closed,1580.5,0.152,2,0
ACC502350,CUST101606,Gold,13100,2021-06-10,Active,0.0,0.0,0,0
ACC500768,CUST100516,Standard,11800,2022-05-28,Closed,8555.17,0.725,4,1
ACC502844,CUST101936,Standard,10500,2023-05-01,Active,4003.92,0.3813,1,0
ACC500440,CUST100302,Standard,30700,2016-01-21,Active,0.0,0.0,0,0
ACC501162,CUST100783,Standard,14800,2022-03-01,Active,3895.14,0.2632,1,0
ACC503212,CUST102192,Standard,15600,2020-03-18,Active,9261.86,0.5937,2,0
ACC501172,CUST100788,Gold,12300,2025-03-11,Active,7797.4,0.6339,2,0
ACC502892,CUST101970,Standard,21000,2023-12-10,Active,5535.44,0.2636,0,0
ACC502766,CUST101882,Standard,16000,2014-07-21,Active,4225.07,0.2641,1,0
ACC501152,CUST100776,Gold,8800,2013-01-06,Closed,6381.34,0.7252,1,0
ACC500270,CUST100187,Platinum,12400,2024-04-29,Active,5659.39,0.4564,1,0
ACC502024,CUST101387,Standard,19700,2024-01-13,Active,1362.72,0.0692,1,0
ACC503062,CUST102087,Secured,17300,2026-09-06,Active,4727.13,0.2732,0,0
ACC501108,CUST100747,Gold,7300,2025-10-18,Active,4963.22,0.6799,2,1
ACC501315,CUST100886,Standard,17900,2020-10-15,Active,0.0,0.0,0,0
ACC502590,CUST101762,Secured,20400,2026-07-08,Active,11946.93,0.5856,1,0
ACC502511,CUST101710,Secured,15300,2023-10-27,Active,6750.9,0.4412,1,0
ACC501266,CUST100851,Standard,16600,2018-04-08,Active,6427.91,0.3872,2,0
ACC503219,CUST102197,Standard,18900,2024-09-19,Active,11645.29,0.6162,2,0
ACC500733,CUST100492,Gold,18100,2023-02-16,Closed,7202.31,0.3979,2,0
