date,total_applications,total_loan_volume,default_count
2024-11-25,21,329008.89,0
2024-11-26,27,398775.75,0
2024-11-27,24,412345.81,2
2024-11-28,20,286305.87,0
2024-11-29,19,317268.69,0
2024-11-30,9,126301.04,0
2024-12-01,8,119276.98,0
2024-12-02,21,281233.18,0
2024-12-03,24,376380.85,0
2024-12-04,26,446359.91,1
2024-12-05,25,372099.14,1
2024-12-06,16,235274.74,0
2024-12-07,10,133280.75,0
2024-12-08,10,146560.61,0
2024-12-09,25,315270.22,2
2024-12-10,29,395289.81,0
2024-12-11,18,276123.22,1
2024-12-12,22,373527.44,0
2024-12-13,26,499559.22,1
2024-12-14,8,112960.98,0
2024-12-15,12,205835.4,1
2024-12-16,26,399506.35,0
2024-12-17,28,413647.6,2
2024-12-18,23,359924.51,0
2024-12-19,28,422600.49,1
2024-12-20,29,439802.21,2
2024-12-21,11,158262.5,3
2024-12-22,11,141931.19,0
2024-12-23,27,342483.18,0
2024-12-24,24,383516.82,0
2024-12-25,26,379208.7,0
2024-12-26,26,366752.53,1
2024-12-27,28,420357.24,4
2024-12-28,12,194308.78,2
2024-12-29,10,152705.46,0
2024-12-30,27,378429.78,1
2024-12-31,32,538862.06,2
2025-01-01,26,451588.23,2
2025-01-02,26,409287.71,0
2025-01-03,29,477354.36,1
2025-01-04,12,202355.28,1
2025-01-05,11,183646.64,0
2025-01-06,33,525397.91,1
2025-01-07,32,508720.66,4
2025-01-08,32,504943.71,4
2025-01-09,31,413973.8,2
2025-01-10,36,577839.05,2
2025-01-11,12,155595.35,0
2025-01-12,10,138081.01,0
2025-01-13,35,593437.17,1
2025-01-14,29,471549.58,1
2025-01-15,31,534164.02,1
2025-01-16,34,496144.61,1
2025-01-17,26,345062.3,0
2025-01-18,11,161032.79,1
2025-01-19,10,151530.47,0
2025-01-20,29,438436.01,0
2025-01-21,33,551117.18,0
2025-01-22,33,477117.11,0
2025-01-23,32,496897.65,2
2025-01-24,28,378477.66,1
2025-01-25,10,156754.76,0
2025-01-26,13,195060.62,1
2025-01-27,31,430133.68,1
2025-01-28,34,497972.7,0
2025-01-29,34,500607.04,1
2025-01-30,33,481627.32,0
2025-01-31,35,617995.42,2
2025-02-01,13,193080.3,0
2025-02-02,14,204878.18,0
2025-02-03,31,367468.53,0
2025-02-04,32,437078.05,1
2025-02-05,34,496583.26,0
2025-02-06,36,502963.96,2
2025-02-07,32,546321.96,0
2025-02-08,14,206536.31,1
2025-02-09,13,220124.66,0
2025-02-10,33,498054.38,1
2025-02-11,36,542010.3,0
2025-02-12,27,401403.74,2
2025-02-13,30,450170.83,2
2025-02-14,29,509767.58,0
2025-02-15,11,126726.42,0
2025-02-16,13,155969.86,1
2025-02-17,36,510668.78,1
2025-02-18,33,495719.13,0
2025-02-19,34,545195.33,0
2025-02-20,37,581256.34,2
2025-02-21,37,533674.35,2
2025-02-22,13,214871.35,0
2025-02-23,15,248179.4,2
2025-02-24,34,519386.95,1
2025-02-25,31,509763.58,1
2025-02-26,31,477678.0,1
2025-02-27,29,410575.49,1
2025-02-28,30,481401.76,0
2025-03-01,13,197156.96,0
2025-03-02,14,210028.14,0
2025-03-03,38,653958.35,2
2025-03-04,29,328387.06,0
2025-03-05,34,437698.11,1
2025-03-06,30,396581.83,1
2025-03-07,34,491473.71,1
2025-03-08,13,190035.14,1
2025-03-09,11,140129.13,1
2025-03-10,35,473279.2,2
2025-03-11,30,411262.12,0
2025-03-12,31,579270.22,1
2025-03-13,29,513375.77,1
2025-03-14,30,431471.28,0
2025-03-15,13,187910.13,0
2025-03-16,12,159314.33,0
2025-03-17,32,388409.74,1
2025-03-18,32,474389.75,1
2025-03-19,35,472612.77,0
2025-03-20,30,446181.73,2
2025-03-21,27,340191.66,3
2025-03-22,14,193998.54,0
2025-03-23,12,182675.29,2
2025-03-24,34,528676.69,0
2025-03-25,32,500038.65,3
2025-03-26,30,390578.0,3
2025-03-27,31,504742.89,0
2025-03-28,36,496788.57,2
2025-03-29,14,223290.02,2
2025-03-30,12,179808.5,1
2025-03-31,30,388062.56,4
2025-04-01,33,479348.21,1
2025-04-02,27,419797.23,0
2025-04-03,30,477583.44,2
2025-04-04,29,428867.03,1
2025-04-05,12,207572.02,1
2025-04-06,10,165112.66,0
2025-04-07,24,350760.45,1
2025-04-08,22,354754.02,0
2025-04-09,25,447517.26,2
2025-04-10,27,484399.63,0
2025-04-11,27,355266.0,2
2025-04-12,13,176932.6,1
2025-04-13,12,206728.54,0
2025-04-14,25,335314.46,1
2025-04-15,28,364453.27,0
2025-04-16,26,371038.43,3
2025-04-17,26,406388.84,2
2025-04-18,27,400852.93,1
2025-04-19,11,154265.7,0
2025-04-20,10,139886.81,0
2025-04-21,30,417944.83,1
2025-04-22,23,314656.92,3
2025-04-23,26,478983.68,2
2025-04-24,34,525173.06,0
2025-04-25,27,440913.74,2
2025-04-26,12,171196.61,0
2025-04-27,10,147210.65,1
2025-04-28,28,390030.73,0
2025-04-29,26,286583.37,1
2025-04-30,25,323324.65,2
2025-05-01,23,282533.66,0
2025-05-02,27,313883.76,1
2025-05-03,9,118862.65,2
2025-05-04,11,186861.77,0
2025-05-05,29,433067.03,0
2025-05-06,27,457267.83,1
2025-05-07,25,390411.85,0
2025-05-08,27,436693.63,0
2025-05-09,24,327567.71,1
2025-05-10,11,173645.19,1
2025-05-11,8,128744.57,0
2025-05-12,24,339240.7,0
2025-05-13,19,300946.9,2
2025-05-14,21,332834.91,1
2025-05-15,29,411094.46,2
2025-05-16,28,372843.73,1
2025-05-17,9,119014.27,1
2025-05-18,8,121038.07,0
2025-05-19,17,263338.75,0
2025-05-20,24,331469.07,2
2025-05-21,33,496315.97,1
2025-05-22,27,428106.75,0
2025-05-23,24,382254.87,0
2025-05-24,11,190606.02,1
2025-05-25,8,135323.77,0
2025-05-26,25,337451.57,0
2025-05-27,26,455659.86,0
2025-05-28,26,369291.92,1
2025-05-29,28,463884.66,1
2025-05-30,27,407753.46,1
2025-05-31,11,158199.54,0
2025-06-01,10,122884.55,0
2025-06-02,29,427536.94,1
2025-06-03,31,392488.68,1
2025-06-04,24,394822.77,1
2025-06-05,24,414604.54,0
2025-06-06,31,427943.64,0
2025-06-07,11,169982.52,0
2025-06-08,13,180854.87,0
2025-06-09,26,365489.1,0
2025-06-10,32,517175.75,2
2025-06-11,28,418381.39,0
2025-06-12,29,510674.69,1
2025-06-13,33,471129.49,1
2025-06-14,11,181489.05,0
2025-06-15,10,151461.2,0
2025-06-16,27,437229.01,0
2025-06-17,30,429877.91,1
2025-06-18,24,358215.88,0
2025-06-19,31,459629.3,2
2025-06-20,28,384885.6,3
2025-06-21,13,207910.59,0
2025-06-22,9,143778.36,0
2025-06-23,27,429038.97,1
2025-06-24,25,432636.21,0
2025-06-25,28,480872.48,2
2025-06-26,31,447565.07,1
2025-06-27,30,466787.35,2
2025-06-28,12,168775.19,2
2025-06-29,12,180420.4,0
2025-06-30,32,451212.03,1
2025-07-01,28,488042.95,1
2025-07-02,34,528548.61,0
2025-07-03,34,498880.51,0
2025-07-04,33,554084.12,4
2025-07-05,13,152673.0,0
2025-07-06,13,155725.0,0
2025-07-07,39,631556.56,2
2025-07-08,32,482902.49,0
2025-07-09,32,492021.42,1
2025-07-10,31,403322.58,3
2025-07-11,30,448954.48,1
2025-07-12,12,216063.17,0
2025-07-13,12,194835.59,0
2025-07-14,34,518655.03,3
2025-07-15,35,501949.67,0
2025-07-16,34,489876.78,1
2025-07-17,32,377798.5,0
2025-07-18,37,569299.04,1
2025-07-19,15,244023.37,1
2025-07-20,14,176911.99,0
2025-07-21,33,462259.86,3
2025-07-22,37,490760.71,0
2025-07-23,36,487871.04,1
2025-07-24,31,467486.9,2
2025-07-25,35,415568.89,1
2025-07-26,15,238821.08,0
2025-07-27,13,209700.17,1
2025-07-28,36,526440.46,0
2025-07-29,32,360925.99,1
2025-07-30,40,540214.88,3
2025-07-31,40,673974.12,0
2025-08-01,36,389988.31,0
2025-08-02,15,217180.72,0
2025-08-03,12,158759.99,0
2025-08-04,33,534826.23,0
2025-08-05,36,503543.85,1
2025-08-06,34,530601.66,0
2025-08-07,39,618079.43,1
2025-08-08,43,763436.57,0
2025-08-09,13,191042.63,0
2025-08-10,14,217896.93,0
2025-08-11,38,485351.84,1
2025-08-12,42,704996.05,1
2025-08-13,33,457354.81,0
2025-08-14,38,538037.01,2
2025-08-15,43,643565.02,1
2025-08-16,13,164523.76,0
2025-08-17,13,199461.02,1
2025-08-18,36,592243.18,0
2025-08-19,36,555818.43,0
2025-08-20,40,504666.15,1
2025-08-21,38,562942.87,0
2025-08-22,32,515617.39,0
2025-08-23,15,182745.25,1
2025-08-24,14,187429.91,0
2025-08-25,41,668907.43,2
2025-08-26,35,539180.01,2
2025-08-27,35,546628.51,1
2025-08-28,39,693780.45,1
2025-08-29,39,612410.34,1
2025-08-30,15,239802.48,2
2025-08-31,13,247859.54,0
2025-09-01,38,557813.14,0
2025-09-02,34,469307.98,1
2025-09-03,37,578742.7,1
2025-09-04,32,501071.57,0
2025-09-05,38,539977.22,1
2025-09-06,14,188319.66,0
2025-09-07,13,240041.97,1
2025-09-08,38,588630.08,0
2025-09-09,37,514358.16,0
2025-09-10,34,556712.45,0
2025-09-11,40,593451.29,0
2025-09-12,34,497103.05,0
2025-09-13,14,221807.73,0
2025-09-14,14,182870.47,0
2025-09-15,33,512455.05,0
2025-09-16,37,661168.99,0
2025-09-17,33,518075.79,0
2025-09-18,34,490813.18,0
2025-09-19,39,555334.34,0
2025-09-20,13,186998.37,0
2025-09-21,11,160809.62,0
2025-09-22,39,562898.32,0
2025-09-23,42,687727.62,1
2025-09-24,33,409206.15,3
2025-09-25,28,456204.0,2
2025-09-26,33,476205.52,0
2025-09-27,13,202350.48,0
2025-09-28,13,173023.74,0
2025-09-29,30,509788.4,1
2025-09-30,35,590395.84,1
2025-10-01,35,575378.5,1
2025-10-02,28,356380.3,2
2025-10-03,35,568528.86,0
2025-10-04,15,234109.24,1
2025-10-05,13,163697.21,1
2025-10-06,31,463870.17,0
2025-10-07,32,497497.66,2
2025-10-08,34,538359.84,0
2025-10-09,27,412179.09,3
2025-10-10,32,493979.11,1
2025-10-11,12,206525.01,0
2025-10-12,15,252585.76,0
2025-10-13,31,331681.94,0
2025-10-14,36,522858.32,1
2025-10-15,28,413084.66,1
2025-10-16,33,408271.12,1
2025-10-17,32,484520.79,1
2025-10-18,11,185604.5,0
2025-10-19,12,160441.78,0
2025-10-20,34,527156.45,0
2025-10-21,29,395161.68,0
2025-10-22,25,349803.3,0
2025-10-23,30,516482.71,0
2025-10-24,27,383026.41,0
2025-10-25,12,188319.82,0
2025-10-26,12,146318.07,1
2025-10-27,25,444836.91,0
2025-10-28,25,397599.47,1
2025-10-29,31,456513.76,0
2025-10-30,28,444172.95,0
2025-10-31,22,283475.96,0
2025-11-01,13,218059.35,0
2025-11-02,12,174168.27,0
2025-11-03,27,396735.18,0
2025-11-04,25,356562.91,0
2025-11-05,32,452128.73,0
2025-11-06,30,481260.18,1
2025-11-07,36,553818.97,0
2025-11-08,12,191731.47,1
2025-11-09,12,179841.7,0
2025-11-10,29,457324.19,2
2025-11-11,31,445523.53,1
2025-11-12,31,568682.53,3
2025-11-13,33,417387.44,2
2025-11-14,27,456067.96,0
2025-11-15,11,187570.47,0
2025-11-16,11,150939.38,0
2025-11-17,32,587005.13,1
2025-11-18,34,560770.0,1
2025-11-19,28,460787.84,0
2025-11-20,28,421176.93,2
2025-11-21,30,440224.82,0
2025-11-22,11,161544.75,0
2025-11-23,13,202615.35,0
2025-11-24,23,393340.93,0
2025-11-25,27,412343.23,1
2025-11-26,27,368086.53,1
2025-11-27,23,373442.73,0
2025-11-28,27,442306.61,1
2025-11-29,11,175801.88,0
2025-11-30,12,193418.98,0
2025-12-01,34,496182.67,0
2025-12-02,30,408195.49,2
2025-12-03,27,369838.17,2
2025-12-04,30,376404.15,0
2025-12-05,34,522084.38,0
2025-12-06,11,163623.1,0
2025-12-07,11,157740.2,0
2025-12-08,33,348696.87,1
2025-12-09,31,406999.74,0
2025-12-10,33,550481.61,0
2025-12-11,32,448097.95,5
2025-12-12,34,528390.18,1
2025-12-13,12,154967.66,1
2025-12-14,13,223054.76,0
2025-12-15,32,473086.67,2
2025-12-16,29,447616.76,0
2025-12-17,28,517682.75,0
2025-12-18,35,604613.11,3
2025-12-19,32,465284.85,3
2025-12-20,12,169322.04,0
2025-12-21,13,188651.87,0
2025-12-22,37,583299.35,1
2025-12-23,27,400738.42,0
2025-12-24,29,417806.88,0
2025-12-25,31,533223.93,2
2025-12-26,39,578318.72,0
2025-12-27,14,258291.37,1
2025-12-28,15,227041.71,0
2025-12-29,31,548017.31,0
2025-12-30,32,497151.33,1
