application_id,customer_id,application_date,loan_purpose,loan_amount_requested,term_months,interest_rate_offered,channel
APP000060,CUST002573,2024-12-09,Home Renovation,28500,24,15.98,Broker
APP000061,CUST003452,2023-10-12,Home Renovation,42000,24,8.56,Broker
APP000062,CUST002855,2024-11-19,Wedding,35500,48,11.98,Broker
APP000063,CUST003073,2023-10-19,Car Purchase,13500,48,19.27,Online
APP000064,CUST003688,2023-10-17,Car Purchase,25500,60,13.92,Online
APP000065,CUST000313,2024-04-11,Debt Consolidation,35000,24,12.6,Online
APP000066,CUST003316,2023-02-21,Car Purchase,34500,36,21.48,Online
APP000067,CUST002292,2023-07-24,Debt Consolidation,47500,24,10.52,Online
APP000068,CUST005146,2024-09-15,Medical,13000,48,10.12,Online
APP000069,CUST004597,2024-08-14,Other,40500,36,9.18,Branch
APP000070,CUST005761,2024-02-05,Car Purchase,3000,24,10.89,Broker
APP000071,CUST001662,2024-10-20,Debt Consolidation,7500,60,14.16,Online
APP000072,CUST003879,2023-04-22,Medical,27500,36,16.25,Broker
APP000073,CUST002991,2023-01-31,Car Purchase,8500,36,10.85,Online
APP000074,CUST000759,2024-01-02,Car Purchase,18000,48,8.72,Broker
APP000075,CUST000099,2023-12-30,Debt Consolidation,4000,36,8.14,Branch
APP000076,CUST004456,2023-12-04,Debt Consolidation,31000,24,8.27,Online
APP000077,CUST001860,2023-06-09,Car Purchase,41500,24,17.45,Broker
APP000078,CUST005814,2023-08-02,Home Renovation,21500,48,15.02,Branch
APP000079,CUST002793,2023-11-01,Debt Consolidation,31500,60,12.38,Broker
APP000080,CUST005130,2024-12-18,Debt Consolidation,13000,48,9.04,Broker
APP000081,CUST002484,2023-01-15,Home Renovation,33500,48,22.41,Online
APP000082,CUST005938,2024-09-09,Other,5500,12,9.25,Branch
APP000083,CUST003416,2023-07-24,Home Renovation,46000,36,7.99,Broker
APP000084,CUST000059,2024-10-27,Travel,42000,24,14.36,Branch
APP000085,CUST005726,2024-01-25,Debt Consolidation,33000,36,18.34,Online
APP000086,CUST005825,2023-08-12,Travel,17500,12,21.42,Online
APP000087,CUST002235,2024-11-21,Car Purchase,17500,12,13.84,Online
APP000088,CUST000901,2024-06-05,Home Renovation,16500,24,14.97,Online
APP000089,CUST005867,2024-04-01,Debt Consolidation,24500,12,12.24,Broker
APP000090,CUST001807,2024-10-11,Medical,10500,12,8.2,Branch
APP000091,CUST004763,2023-07-27,Other,17000,12,9.25,Broker
APP000092,CUST003638,2024-08-30,Home Renovation,5500,24,14.45,Online
APP000093,CUST002750,2023-06-22,Debt Consolidation,18500,36,8.7,Online
APP000094,CUST003058,2023-08-07,Car Purchase,45500,12,9.36,Branch
APP000095,CUST005653,2024-12-09,Car Purchase,32500,48,19.56,Branch
APP000096,CUST004673,2024-11-28,Medical,44500,36,22.47,Online
APP000097,CUST004220,2023-12-21,Car Purchase,2000,36,21.24,Broker
APP000098,CUST003197,2024-06-10,Debt Consolidation,29500,36,17.43,Branch
APP000099,CUST005578,2024-01-09,Car Purchase,38500,36,7.79,Online
APP000100,CUST001132,2023-02-25,Travel,9500,24,13.06,Broker
APP000101,CUST003255,2023-12-12,Medical,2500,12,14.5,Branch
APP000102,CUST001050,2023-10-09,Wedding,4000,12,7.61,Branch
APP000103,CUST004806,2023-06-29,Debt Consolidation,33000,36,8.33,Online
APP000104,CUST004961,2024-03-26,Debt Consolidation,29500,48,17.98,Online
APP000105,CUST001324,2023-05-12,Wedding,30500,36,16.25,Broker
APP000106,CUST000726,2023-10-03,Car Purchase,15500,60,18.42,Broker
APP000107,CUST001659,2024-01-09,Debt Consolidation,16000,36,20.18,Online
APP000108,CUST000702,2024-05-28,Debt Consolidation,15000,12,19.51,Online
APP000109,CUST005570,2023-08-16,Other,9000,60,13.66,Branch
APP000110,CUST005222,2024-01-06,Home Renovation,32000,60,13.51,Online
APP000111,CUST003371,2024-04-25,Home Renovation,10500,36,19.49,Branch
APP000112,CUST002368,2023-03-06,Other,43000,48,18.53,Broker
APP000113,CUST001289,2024-12-20,Home Renovation,21500,12,13.79,Broker
APP000114,CUST002744,2024-03-05,Debt Consolidation,45500,48,17.74,Online
APP000115,CUST001797,2023-07-09,Debt Consolidation,35000,36,9.06,Online
APP000116,CUST001311,2023-07-24,Debt Consolidation,3500,36,13.68,Online
APP000117,CUST002736,2024-11-14,Wedding,41500,60,19.19,Online
APP000118,CUST001401,2024-06-21,Home Renovation,36000,36,10.74,Branch
APP000119,CUST005895,2024-10-30,Debt Consolidation,19500,48,19.45,Online
APP000120,CUST005685,2023-07-23,Debt Consolidation,39000,36,13.2,Online
APP000121,CUST005620,2024-08-17,Home Renovation,26500,36,12.94,Broker
APP000122,CUST002424,2023-08-01,Home Renovation,12000,60,7.92,Broker
APP000123,CUST000701,2023-12-22,Car Purchase,16000,36,21.71,Online
APP000124,CUST000276,2023-07-18,Home Renovation,18500,36,9.72,Online
APP000125,CUST005181,2023-02-19,Travel,49500,36,7.99,Branch
APP000126,CUST004351,2023-10-07,Home Renovation,29000,24,13.09,Online
APP000127,CUST004366,2023-06-25,Home Renovation,43500,36,14.25,Online
APP000128,CUST002195,2024-10-20,Debt Consolidation,23000,60,15.78,Broker
APP000129,CUST002457,2023-05-29,Wedding,20000,48,10.81,Branch
APP000130,CUST003093,2023-09-05,Wedding,7500,36,19.81,Branch
APP000131,CUST001175,2024-01-02,Home Renovation,21000,60,14.03,Online
APP000132,CUST003815,2023-09-27,Home Renovation,34500,36,10.54,Broker
APP000133,CUST004336,2023-06-06,Debt Consolidation,4000,60,10.44,Online
APP000134,CUST003756,2023-04-24,Travel,48500,36,16.85,Branch
APP000135,CUST003513,2024-03-23,Car Purchase,14500,60,11.25,Online
APP000136,CUST001178,2024-01-23,Home Renovation,29500,12,15.91,Online
APP000137,CUST004569,2023-02-21,Car Purchase,27000,60,14.46,Broker
APP000138,CUST002114,2024-09-24,Debt Consolidation,33000,24,12.48,Online
APP000139,CUST005690,2024-06-21,Car Purchase,19000,12,8.26,Online
APP000140,CUST004338,2024-03-09,Wedding,48500,60,14.51,Branch
APP000141,CUST003444,2023-02-23,Travel,4500,24,8.06,Online
APP000142,CUST002236,2023-11-02,Debt Consolidation,6500,24,13.11,Online
APP000143,CUST001920,2024-03-09,Other,30500,48,20.96,Online
APP000144,CUST004689,2023-12-17,Travel,30500,48,13.09,Online
APP000145,CUST004062,2023-08-23,Car Purchase,23000,48,9.17,Online
APP000146,CUST002547,2023-09-10,Car Purchase,7500,24,21.01,Online
APP000147,CUST001775,2024-05-03,Other,39000,24,20.59,Online
APP000148,CUST000834,2023-08-31,Other,47000,24,12.94,Online
APP000149,CUST000900,2023-09-29,Home Renovation,46000,48,10.49,Online
APP000150,CUST004938,2024-03-28,Debt Consolidation,49500,24,11.14,Broker
APP000151,CUST002116,2024-06-16,Debt Consolidation,35500,36,16.23,Branch
APP000152,CUST003918,2023-07-30,Debt Consolidation,8500,24,15.36,Branch
APP000153,CUST001099,2024-08-13,Debt Consolidation,32500,36,15.89,Online
APP000154,CUST000803,2023-07-09,Wedding,38500,48,17.52,Online
APP000155,CUST005381,2023-09-02,Travel,11000,24,8.9,Online
APP000156,CUST004532,2023-11-15,Medical,10500,60,17.67,Branch
APP000157,CUST003566,2024-09-03,Home Renovation,10000,36,21.71,Online
APP000158,CUST004516,2023-06-09,Travel,45000,36,7.87,Branch
APP000159,CUST002009,2023-06-08,Car Purchase,19500,60,14.12,Broker
APP000160,CUST004602,2024-05-22,Debt Consolidation,5000,60,16.34,Online
APP000161,CUST003595,2023-05-08,Wedding,27500,36,15.57,Online
APP000162,CUST003281,2023-03-13,Home Renovation,45500,36,7.72,Online
APP000163,CUST002298,2023-09-08,Home Renovation,33500,48,22.34,Online
APP000164,CUST003594,2023-03-25,Car Purchase,7500,36,16.45,Branch
APP000165,CUST000406,2023-08-20,Debt Consolidation,10500,48,9.73,Branch
APP000166,CUST001703,2023-09-21,Medical,23000,12,11.45,Online
APP000167,CUST004034,2024-09-15,Debt Consolidation,38000,12,8.07,Broker
APP000168,CUST001968,2023-11-06,Car Purchase,16000,48,19.78,Online
APP000169,CUST002270,2024-11-01,Home Renovation,30000,36,8.41,Online
APP000170,CUST005345,2023-11-05,Travel,12500,24,11.48,Online
APP000171,CUST001498,2024-01-12,Debt Consolidation,6500,12,17.64,Online
APP000172,CUST000175,2024-05-22,Car Purchase,15000,12,16.24,Online
APP000173,CUST000026,2024-06-22,Debt Consolidation,16500,24,16.87,Broker
APP000174,CUST000067,2024-10-26,Medical,36000,24,12.9,Online
APP000175,CUST000991,2024-01-06,Car Purchase,16500,60,11.3,Online
APP000176,CUST005918,2023-12-25,Medical,43500,36,10.1,Online
APP000177,CUST003340,2023-03-11,Wedding,47000,36,11.7,Broker
APP000178,CUST005402,2023-10-03,Debt Consolidation,30000,24,15.19,Branch
APP000179,CUST000007,2024-01-04,Other,15500,24,8.62,Online
APP000180,CUST002863,2023-12-01,Debt Consolidation,43500,48,17.44,Online
APP000181,CUST000366,2023-07-30,Medical,32500,24,9.14,Broker
APP000182,CUST005892,2024-03-12,Car Purchase,33500,12,17.0,Online
APP000183,CUST003511,2023-06-16,Home Renovation,6500,60,21.65,Branch
APP000184,CUST000569,2024-07-17,Car Purchase,5500,24,19.38,Online
APP000185,CUST001122,2023-08-12,Home Renovation,23000,48,10.64,Branch
APP000186,CUST004890,2024-10-20,Wedding,41000,24,9.08,Online
APP000187,CUST002614,2024-11-27,Car Purchase,40000,36,10.59,Broker
APP000188,CUST002898,2024-10-23,Debt Consolidation,49500,36,14.85,Branch
APP000189,CUST001272,2024-03-12,Debt Consolidation,15000,24,15.86,Branch
APP000190,CUST005926,2024-08-29,Medical,28500,48,10.65,Online
APP000191,CUST004960,2023-04-11,Home Renovation,27000,36,11.18,Online
APP000192,CUST003111,2024-04-02,Medical,28000,24,14.09,Broker
APP000193,CUST001073,2024-03-05,Car Purchase,16500,24,15.82,Online
APP000194,CUST002282,2023-12-22,Car Purchase,9500,24,15.69,Branch
APP000195,CUST003351,2023-09-16,Debt Consolidation,5000,12,21.01,Online
APP000196,CUST004063,2023-04-11,Debt Consolidation,44000,12,14.9,Online
APP000197,CUST004278,2023-02-26,Car Purchase,28500,48,18.04,Online
APP000198,CUST001097,2024-06-29,Debt Consolidation,31500,60,8.91,Broker
APP000199,CUST004118,2024-04-30,Debt Consolidation,32000,36,12.56,Online
APP000200,CUST000362,2024-04-04,Debt Consolidation,13000,36,18.08,Online
APP000201,CUST005640,2024-10-19,Car Purchase,15000,36,9.82,Online
APP000202,CUST003279,2024-01-01,Home Renovation,44000,24,7.85,Branch
APP000203,CUST003085,2023-08-02,Medical,3000,24,13.14,Broker
APP000204,CUST001017,2023-09-22,Wedding,22500,36,20.77,Branch
APP000205,CUST004086,2023-07-14,Debt Consolidation,44500,36,18.01,Online
APP000206,CUST003756,2024-12-08,Debt Consolidation,33500,36,14.98,Branch
APP000207,CUST003075,2023-12-30,Car Purchase,2500,24,14.21,Online
APP000208,CUST001100,2023-12-17,Home Renovation,7500,60,22.33,Broker
APP000209,CUST003244,2023-04-23,Car Purchase,22500,36,21.96,Online
APP000210,CUST004271,2023-05-25,Home Renovation,19000,60,13.45,Online
APP000211,CUST003795,2024-10-02,Debt Consolidation,44500,36,14.05,Online
APP000212,CUST004886,2023-08-25,Debt Consolidation,42000,60,15.52,Broker
APP000213,CUST001936,2023-02-21,Car Purchase,19500,36,19.6,Broker
APP000214,CUST002701,2024-02-18,Wedding,36000,48,15.95,Online
APP000215,CUST000549,2023-12-18,Travel,3500,48,11.17,Broker
APP000216,CUST005140,2023-01-21,Medical,26000,48,21.78,Online
APP000217,CUST004228,2024-08-09,Car Purchase,47500,60,9.05,Online
APP000218,CUST005239,2023-12-28,Debt Consolidation,11000,36,21.95,Broker
APP000219,CUST001974,2024-12-14,Other,20000,36,13.55,Online
APP000220,CUST004294,2024-01-07,Home Renovation,15000,36,21.8,Online
APP000221,CUST004116,2023-05-27,Car Purchase,40000,24,9.14,Online
APP000222,CUST002153,2023-04-25,Debt Consolidation,24500,24,11.58,Online
APP000223,CUST003120,2023-02-21,Home Renovation,13500,36,14.38,Branch
APP000224,CUST003580,2024-09-30,Home Renovation,8500,36,8.7,Online
APP000225,CUST000105,2023-09-01,Home Renovation,47000,48,12.05,Online
APP000226,CUST001992,2024-07-27,Debt Consolidation,42000,60,15.51,Online
APP000227,CUST004589,2024-02-08,Car Purchase,20500,24,7.69,Branch
APP000228,CUST000108,2023-04-15,Wedding,19000,36,11.0,Online
APP000229,CUST000748,2023-10-18,Wedding,19000,48,17.57,Branch
APP000230,CUST003012,2023-08-11,Wedding,7000,24,12.58,Online
APP000231,CUST004091,2023-08-23,Debt Consolidation,39000,24,10.75,Broker
APP000232,CUST005458,2023-06-25,Car Purchase,35500,12,8.1,Online
APP000233,CUST001986,2023-11-25,Other,42500,12,13.39,Branch
APP000234,CUST001667,2023-02-20,Car Purchase,14000,24,9.97,Broker
APP000235,CUST004965,2024-04-26,Home Renovation,30500,24,21.86,Online
APP000236,CUST001812,2024-12-04,Wedding,35500,60,17.27,Broker
APP000237,CUST002085,2024-02-24,Debt Consolidation,29500,24,12.36,Broker
APP000238,CUST001883,2024-12-25,Debt Consolidation,26000,36,7.93,Online
APP000239,CUST002700,2024-11-07,Debt Consolidation,12000,24,21.67,Online
APP000240,CUST002020,2023-12-07,Car Purchase,28500,36,9.95,Online
APP000241,CUST001549,2023-09-30,Car Purchase,15500,36,17.91,Branch
APP000242,CUST000668,2023-08-12,Wedding,30500,36,7.58,Online
APP000243,CUST001088,2023-02-14,Debt Consolidation,36000,36,17.92,Branch
APP000244,CUST005154,2023-01-10,Debt Consolidation,49000,24,17.74,Online
APP000245,CUST005931,2024-01-21,Wedding,44500,24,10.96,Branch
APP000246,CUST001374,2024-12-05,Other,7000,60,11.21,Branch
APP000247,CUST004190,2023-05-14,Travel,20500,48,18.64,Branch
APP000248,CUST005089,2024-04-19,Medical,32500,36,8.7,Online
APP000249,CUST000117,2024-04-10,Home Renovation,17000,60,13.25,Broker
APP000250,CUST002583,2024-03-21,Car Purchase,34500,24,17.52,Broker
APP000251,CUST000317,2023-10-31,Debt Consolidation,43000,48,20.17,Branch
APP000252,CUST005298,2023-01-14,Car Purchase,46500,48,9.05,Broker
APP000253,CUST004627,2024-06-29,Debt Consolidation,28500,36,22.49,Branch
APP000254,CUST005483,2023-07-18,Medical,4000,36,8.11,Online
APP000255,CUST000312,2023-12-08,Wedding,28000,60,22.09,Broker
APP000256,CUST001092,2023-01-23,Wedding,34000,24,11.18,Online
APP000257,CUST005654,2024-07-28,Home Renovation,37000,24,14.44,Online
APP000258,CUST000166,2023-04-18,Medical,48500,24,20.81,Online
APP000259,CUST000829,2024-01-27,Wedding,32000,36,20.55,Branch
APP000260,CUST003162,2023-05-15,Travel,28000,48,20.41,Branch
APP000261,CUST003088,2023-10-08,Home Renovation,36500,48,17.66,Branch
APP000262,CUST001879,2024-01-11,Debt Consolidation,29000,48,16.55,Broker
APP000263,CUST005061,2024-11-09,Debt Consolidation,37500,48,18.52,Branch
APP000264,CUST004508,2024-07-18,Wedding,3500,12,20.36,Branch
APP000265,CUST002224,2023-03-19,Car Purchase,48000,48,9.34,Online
APP000266,CUST004427,2024-04-10,Medical,41500,48,16.85,Broker
APP000267,CUST004435,2023-06-13,Car Purchase,8000,24,14.24,Broker
APP000268,CUST001056,2023-06-03,Travel,41500,12,15.81,Online
APP000269,CUST004170,2023-04-18,Car Purchase,29000,24,20.76,Branch
APP000270,CUST005163,2024-01-01,Debt Consolidation,28000,60,16.16,Broker
APP000271,CUST005199,2023-04-17,Other,20500,24,15.65,Broker
APP000272,CUST000622,2024-07-19,Debt Consolidation,36500,60,20.62,Broker
APP000273,CUST005670,2023-07-03,Debt Consolidation,42000,24,18.1,Branch
APP000274,CUST001269,2024-02-07,Home Renovation,8000,60,13.99,Broker
APP000275,CUST001873,2023-09-20,Other,17000,36,14.07,Branch
APP000276,CUST000286,2024-08-29,Debt Consolidation,6500,36,20.28,Online
APP000277,CUST001286,2023-10-14,Home Renovation,39500,60,10.73,Broker
APP000278,CUST000492,2023-04-06,Travel,9500,36,18.31,Branch
APP000279,CUST004428,2023-12-08,Medical,22500,24,21.64,Online
APP000280,CUST000158,2024-09-20,Other,45500,48,16.84,Online
APP000281,CUST005589,2023-09-17,Home Renovation,34000,36,18.27,Broker
APP000282,CUST003323,2023-11-28,Other,19500,12,12.37,Branch
APP000283,CUST005376,2023-03-11,Debt Consolidation,11000,48,15.94,Broker
APP000284,CUST004255,2023-03-11,Debt Consolidation,42000,12,16.84,Online
APP000285,CUST003477,2024-11-27,Travel,42000,36,18.19,Branch
APP000286,CUST004454,2024-06-02,Other,20500,36,10.14,Broker
APP000287,CUST002109,2024-07-18,Travel,33500,48,14.3,Branch
APP000288,CUST004608,2024-10-28,Travel,13500,48,15.07,Online
APP000289,CUST004622,2024-05-16,Debt Consolidation,26500,24,22.39,Broker
APP000290,CUST003833,2023-10-19,Debt Consolidation,31000,60,7.68,Branch
APP000291,CUST001199,2023-12-27,Debt Consolidation,19000,36,12.68,Branch
APP000292,CUST003648,2024-05-07,Car Purchase,45000,60,16.15,Broker
APP000293,CUST001122,2023-08-18,Debt Consolidation,46500,36,12.13,Broker
APP000294,CUST004241,2023-08-04,Home Renovation,30500,48,14.29,Online
APP000295,CUST000027,2023-04-12,Other,39000,36,9.76,Online
APP000296,CUST004101,2023-02-03,Debt Consolidation,5000,48,21.12,Online
APP000297,CUST004798,2023-11-08,Other,11000,36,18.35,Online
APP000298,CUST000543,2023-04-30,Debt Consolidation,12500,24,11.15,Online
APP000299,CUST004853,2024-10-27,Home Renovation,15000,24,20.99,Branch
APP000300,CUST000993,2023-12-26,Debt Consolidation,15000,60,20.62,Broker
APP000301,CUST001827,2023-05-27,Car Purchase,27000,12,11.53,Branch
APP000302,CUST005694,2024-05-06,Debt Consolidation,39000,48,8.7,Broker
APP000303,CUST002951,2023-06-30,Home Renovation,11500,12,21.98,Branch
APP000304,CUST003396,2024-08-15,Wedding,25500,36,21.2,Online
APP000305,CUST003003,2023-10-11,Travel,34000,12,14.66,Online
APP000306,CUST000592,2023-06-17,Medical,20500,12,18.65,Branch
APP000307,CUST005397,2023-04-19,Medical,7500,48,21.01,Online
APP000308,CUST003761,2024-08-08,Debt Consolidation,42500,36,15.71,Branch
APP000309,CUST004524,2024-10-24,Travel,2500,36,20.42,Online
APP000310,CUST005936,2024-08-20,Debt Consolidation,27000,48,14.41,Online
APP000311,CUST004713,2023-08-27,Car Purchase,29000,36,18.53,Online
APP000312,CUST005426,2023-12-20,Car Purchase,4000,12,14.26,Broker
APP000313,CUST002320,2024-11-01,Debt Consolidation,16500,36,18.71,Online
APP000314,CUST000653,2023-10-09,Car Purchase,3000,12,15.82,Branch
APP000315,CUST003311,2023-04-23,Debt Consolidation,19000,24,10.81,Branch
APP000316,CUST002014,2023-07-04,Car Purchase,2000,12,9.41,Online
APP000317,CUST004125,2024-10-21,Car Purchase,41500,24,16.69,Online
APP000318,CUST002825,2024-01-19,Home Renovation,17500,48,11.88,Online
APP000319,CUST002055,2023-04-26,Wedding,16500,12,8.77,Branch
APP000320,CUST004894,2023-07-12,Car Purchase,39000,60,17.83,Broker
APP000321,CUST001127,2023-06-02,Car Purchase,17000,60,8.2,Online
APP000322,CUST000118,2024-12-01,Wedding,25500,12,14.21,Online
APP000323,CUST001806,2023-09-03,Travel,19500,12,19.21,Broker
APP000324,CUST002642,2024-04-06,Car Purchase,36500,24,11.73,Online
APP000325,CUST005954,2023-03-18,Medical,23500,36,10.91,Online
APP000326,CUST005392,2023-12-03,Car Purchase,48500,36,8.11,Online
APP000327,CUST000969,2023-09-02,Travel,8500,24,12.19,Branch
APP000328,CUST001257,2023-09-19,Travel,8000,12,16.12,Branch
APP000329,CUST002058,2024-09-05,Home Renovation,12000,24,19.29,Branch
APP000330,CUST005006,2024-11-02,Car Purchase,5000,36,14.61,Online
APP000331,CUST005778,2023-09-06,Debt Consolidation,21000,36,20.52,Online
APP000332,CUST005259,2023-02-23,Wedding,15000,24,17.54,Broker
APP000333,CUST001504,2024-07-09,Wedding,38000,48,10.0,Online
APP000334,CUST001242,2024-04-01,Other,21000,24,15.34,Branch
APP000335,CUST002053,2024-10-02,Other,38500,24,21.36,Branch
APP000336,CUST001608,2023-02-27,Debt Consolidation,16500,12,13.06,Online
APP000337,CUST002588,2023-08-03,Car Purchase,50000,36,17.78,Broker
APP000338,CUST002696,2024-10-24,Debt Consolidation,7500,24,16.19,Online
APP000339,CUST001505,2024-01-05,Debt Consolidation,24000,24,14.33,Broker
APP000340,CUST002920,2024-10-30,Home Renovation,25000,36,17.94,Branch
APP000341,CUST003977,2024-01-05,Debt Consolidation,22500,24,20.09,Branch
APP000342,CUST000226,2023-03-26,Car Purchase,23000,60,9.41,Branch
APP000343,CUST001168,2023-04-17,Debt Consolidation,8500,48,19.44,Online
APP000344,CUST000968,2024-11-27,Travel,20000,36,13.26,Online
APP000345,CUST000913,2023-11-03,Car Purchase,40500,60,13.49,Branch
APP000346,CUST003176,2024-07-04,Home Renovation,36500,36,18.14,Broker
APP000347,CUST001990,2023-10-08,Debt Consolidation,33000,36,8.86,Broker
APP000348,CUST003241,2024-06-15,Car Purchase,45000,60,20.89,Online
APP000349,CUST005344,2023-01-02,Medical,42000,24,14.46,Broker
APP000350,CUST004185,2024-07-14,Home Renovation,42500,60,16.92,Online
APP000351,CUST002845,2024-09-30,Travel,37000,60,17.32,Branch
APP000352,CUST003659,2023-11-06,Travel,12500,12,20.05,Online
APP000353,CUST000072,2023-07-18,Home Renovation,18500,48,20.14,Online
APP000354,CUST000402,2023-12-14,Debt Consolidation,33000,24,20.52,Online
APP000355,CUST000023,2024-07-08,Home Renovation,25500,36,15.69,Online
APP000356,CUST004751,2024-05-12,Car Purchase,8000,24,8.09,Branch
APP000357,CUST002149,2024-10-19,Debt Consolidation,17500,36,15.61,Online
APP000358,CUST004648,2024-12-10,Wedding,25000,48,15.74,Online
APP000359,CUST003950,2023-01-03,Home Renovation,4500,24,13.62,Broker
APP000360,CUST000536,2024-03-15,Car Purchase,15500,24,14.88,Branch
APP000361,CUST002300,2023-01-03,Debt Consolidation,32000,48,15.27,Broker
APP000362,CUST001793,2024-09-27,Debt Consolidation,23500,60,11.61,Broker
APP000363,CUST000660,2024-03-15,Debt Consolidation,42500,24,7.96,Broker
APP000364,CUST002605,2023-11-29,Debt Consolidation,4500,12,9.85,Branch
APP000365,CUST004412,2023-06-29,Home Renovation,36000,24,12.3,Online
APP000366,CUST002560,2024-02-27,Wedding,27500,36,21.62,Online
APP000367,CUST005986,2023-03-30,Debt Consolidation,12000,36,14.21,Online
APP000368,CUST000091,2024-12-23,Debt Consolidation,34500,24,9.61,Online
APP000369,CUST002236,2023-11-01,Home Renovation,19000,60,19.88,Online
APP000370,CUST005528,2024-08-15,Debt Consolidation,10500,36,17.72,Online
APP000371,CUST003333,2024-05-15,Home Renovation,35500,60,11.16,Online
APP000372,CUST000895,2023-07-28,Debt Consolidation,47000,60,18.56,Online
APP000373,CUST001238,2023-02-23,Debt Consolidation,28500,24,15.15,Online
