application_id,application_date,applicant_age,annual_income,credit_score,employment_status,home_ownership,num_dependents,existing_debt,loan_amount,loan_term_months,interest_rate,loan_status,internal_notes
50391,2024-08-01,30,70457.23,606.0,Self-Employed,Mortgage,0,10203.32,1000.0,12,7.65%,Denied,
50042,2025-06-21,37,60105.74,654.0,Employed,Own,3,5507.28,15374.31,12,2.65%,Denied,
50086,2024-06-17,25,15000.0,593.0,Employed,Own,1,9193.7,21290.48,36,10.78%,Denied,
50448,2025-03-07,26,16837.84,724.0,Self-Employed,Mortgage,4,617.56,21993.28,12,4.42%,Approved,
50286,2024-11-21,23,44366.01,717.0,Employed,Rent,2,11386.09,16529.71,48,4.01%,Approved,
50491,2025-07-11,46,40153.79,649.0,Employed,Rent,3,16270.55,20972.62,12,7.43%,Pending,
50372,2024-07-21,35,93057.01,775.0,Employed,Rent,1,15342.14,20527.13,36,9.67%,Approved,
50371,2025-05-10,45,43758.97,616.0,Employed,Own,4,12518.82,9752.64,60,8.42%,Denied,
50411,2025-04-02,52,61978.64,704.0,Employed,Mortgage,4,6826.79,17161.23,48,7.33%,Approved,
50125,2025-03-30,46,17195.28,598.0,Employed,Rent,0,17513.77,7937.64,36,7.53%,Approved,
50484,2024-05-17,33,54862.24,618.0,Employed,Rent,0,19221.92,4079.53,12,8.63%,Denied,
50172,2025-09-29,43,52664.4,600.0,Employed,Mortgage,1,13675.63,30672.0,60,7.82%,Approved,
50489,2025-06-26,49,15000.0,685.0,Self-Employed,Rent,2,15559.18,21118.29,24,8.4%,Denied,
50072,2025-08-07,34,87161.76,767.0,Employed,Rent,4,9037.31,13194.49,24,12.59%,Denied,
50451,2025-01-02,54,77045.96,840.0,Self-Employed,Own,3,8226.42,1981.44,24,6.98%,Approved,
50412,2025-06-05,66,67994.45,758.0,Employed,Mortgage,0,8015.76,19929.03,12,5.49%,Denied,
50192,2025-06-05,68,104594.71,707.0,Employed,Mortgage,1,1412.14,16588.58,60,7.42%,Approved,
50085,2025-01-27,26,59208.69,707.0,Employed,Mortgage,4,6737.76,11267.57,36,10.9%,Approved,
50167,2024-06-11,24,80215.96,664.0,Retired,Mortgage,2,9150.0,6593.31,48,3.47%,Approved,
50039,2025-07-28,29,48113.89,670.0,Employed,Own,4,7950.57,21593.45,48,8.9%,Denied,
50234,2025-01-29,24,52520.32,723.0,Employed,Own,0,7181.47,21788.86,12,7.94%,Approved,
50227,2024-05-03,41,38571.34,744.0,Employed,Rent,3,4324.83,12725.06,48,3.62%,Denied,
50012,2024-07-03,40,41589.41,623.0,Employed,Mortgage,2,9183.84,1040.07,36,4.82%,Approved,
50353,2025-03-15,53,101354.74,782.0,Employed,Own,2,10741.68,8211.42,12,6.19%,Approved,
50278,2025-01-18,60,30914.35,651.0,Retired,Rent,2,13727.11,1000.0,60,7.82%,Denied,
50151,2025-01-24,34,72345.97,659.0,Employed,Own,1,1049.02,26265.03,60,10.31%,Denied,
50369,2024-07-02,62,49781.86,748.0,Employed,Rent,4,15603.11,24217.0,12,4.76%,Denied,
50016,2025-01-12,25,38989.97,826.0,Self-Employed,Own,4,16560.64,20525.47,36,6.77%,Pending,
50293,2024-06-26,52,77787.93,641.0,Employed,Rent,3,10677.63,22373.61,24,4.51%,Approved,
50119,2025-08-14,59,58492.85,581.0,Employed,Rent,2,2985.11,16097.55,60,5.84%,Pending,
50063,2025-06-30,39,29762.08,582.0,Self-Employed,Mortgage,3,6290.71,10334.63,48,5.73%,Approved,
50360,2025-01-25,41,70392.73,552.0,Employed,Mortgage,0,15389.53,19944.8,36,10.04%,Approved,
50211,2025-02-07,33,40705.34,596.0,Self-Employed,Rent,3,779.08,15604.88,36,8.87%,Approved,
50022,2025-07-18,58,62504.59,695.0,Employed,Mortgage,0,13809.16,22576.92,48,2.12%,Approved,
50427,2024-01-31,33,66655.49,751.0,Employed,Own,4,6196.62,3101.46,36,11.48%,Denied,
50295,2024-07-06,38,59778.64,517.0,Employed,Own,1,0.0,9888.15,24,5.98%,Approved,
50493,2024-10-25,30,82493.08,765.0,Retired,Mortgage,3,7354.14,11366.26,36,7.15%,Approved,
50423,2025-04-21,59,66451.69,690.0,Unemployed,Rent,4,0.0,16512.93,48,2.0%,Pending,
50302,2024-11-16,27,,600.0,Employed,Own,0,0.0,6143.28,48,7.59%,Approved,
50178,2024-12-13,62,47545.87,715.0,Employed,Rent,2,8494.44,10290.6,12,10.41%,Approved,
50421,2024-10-17,32,98777.09,650.0,Employed,Rent,4,9404.73,11829.99,24,3.99%,Approved,
50245,2024-01-29,48,56535.44,612.0,Employed,Rent,1,9383.17,10569.22,60,,Denied,
50345,2024-02-10,41,17506.32,782.0,Self-Employed,Mortgage,4,11038.23,4593.97,60,9.54%,Approved,
50460,2024-03-28,63,32812.59,781.0,Employed,Rent,3,5650.99,8192.06,60,7.77%,Approved,
50134,2025-08-06,42,80417.64,655.0,Employed,Rent,0,21459.57,14136.14,60,4.22%,Denied,
50123,2025-09-04,68,72175.8,617.0,Employed,Rent,0,13514.46,2407.6,24,4.46%,Approved,
50388,2025-02-28,50,56596.92,731.0,Employed,Rent,4,18994.0,10254.61,48,4.88%,Pending,
50222,2024-02-18,69,15000.0,721.0,Unemployed,Rent,0,14188.09,30799.48,60,6.19%,Approved,
50435,2024-08-09,29,22444.31,583.0,Employed,Mortgage,3,9044.18,12537.76,48,7.73%,Approved,
50201,2025-06-17,67,92083.59,672.0,Employed,Mortgage,2,2384.09,9603.62,12,5.66%,Approved,
50138,2024-07-16,66,98633.11,709.0,Retired,Mortgage,4,11931.15,9302.83,60,9.98%,Denied,
50044,2024-08-03,38,15000.0,694.0,Employed,Rent,4,5043.6,14195.16,24,5.33%,Approved,
50114,2024-04-22,27,96004.99,694.0,Employed,Mortgage,4,10532.49,19599.25,12,10.12%,Approved,
50074,2024-06-23,60,27713.76,607.0,Retired,Mortgage,3,9776.66,12384.64,48,8.14%,Approved,
50313,2025-03-26,65,76520.32,536.0,Employed,Mortgage,0,0.0,22661.61,60,4.91%,Approved,
50218,2024-02-26,36,60295.51,795.0,Self-Employed,Own,4,18507.11,19583.23,36,3.69%,Pending,
50382,2025-04-04,51,,535.0,Employed,Mortgage,2,9293.47,25067.99,60,9.77%,Approved,
50405,2025-03-21,22,48487.34,745.0,Employed,Mortgage,1,313.87,15950.7,36,6.72%,Denied,
50004,2024-10-28,48,74037.08,811.0,Employed,Mortgage,0,12545.25,1000.0,24,11.46%,Denied,
50132,2025-06-23,54,60918.37,658.0,Unemployed,Rent,1,9458.92,11912.48,36,9.81%,Approved,
50068,2024-10-17,31,39610.62,681.0,Self-Employed,Mortgage,0,5029.2,20081.92,60,6.53%,Denied,
50075,2024-03-16,41,40438.07,736.0,Employed,Mortgage,3,6762.34,1000.0,36,5.52%,Approved,
50141,2025-01-16,61,56538.68,735.0,Retired,Rent,4,13774.06,23958.42,48,6.3%,Denied,
50230,2024-09-03,61,51514.76,749.0,Unemployed,Own,3,5151.89,24992.72,12,7.12%,Denied,
50058,2024-05-12,21,78850.68,850.0,Employed,Mortgage,2,0.0,22474.77,60,6.81%,Approved,
50003,2024-06-02,52,48476.03,579.0,Employed,Mortgage,0,4953.17,11170.12,48,10.45%,Denied,
50418,2025-04-08,40,68881.48,447.0,Employed,Rent,2,4555.17,6223.5,60,5.07%,Approved,
50373,2025-05-26,40,78309.5,659.0,Employed,Own,2,7944.2,11251.46,24,3.83%,Approved,
50184,2024-01-20,23,51858.5,654.0,Employed,Own,4,9797.93,12547.46,12,10.04%,Approved,
50164,2024-07-24,48,89489.51,582.0,Self-Employed,Mortgage,1,16055.54,28398.5,12,9.62%,Approved,
50471,2025-01-08,33,53190.22,798.0,Employed,Own,0,10683.55,1810.23,60,,Approved,
50065,2024-06-22,54,64737.54,616.0,Employed,Own,3,0.0,22820.24,24,5.95%,Approved,
50156,2024-02-22,22,35696.59,709.0,Employed,Own,2,10549.24,19090.65,60,3.99%,Denied,
50309,2025-01-13,45,114807.03,622.0,Retired,Mortgage,2,1802.81,20171.89,48,7.7%,Approved,
50366,2025-04-07,57,107720.7,688.0,Employed,Own,4,7678.04,16770.04,48,6.88%,Pending,
50100,2025-05-10,44,54780.97,767.0,Self-Employed,Mortgage,3,5053.23,20119.89,12,5.76%,Approved,
50252,2025-06-09,55,65244.06,766.0,Employed,Own,1,23818.43,14798.89,24,12.63%,Approved,
50228,2024-07-10,47,41205.59,598.0,Employed,Mortgage,0,4833.88,20945.29,36,6.7%,Approved,
50270,2024-06-12,59,83314.04,771.0,Retired,Mortgage,4,11030.44,11829.21,12,7.99%,Approved,
50279,2024-01-31,58,28806.54,,Employed,Mortgage,1,18048.2,19439.53,36,2.74%,Approved,
50008,2024-09-22,37,66825.36,697.0,Employed,Mortgage,3,7782.12,5781.64,60,3.81%,Denied,
50347,2025-04-26,55,95599.39,708.0,Employed,Mortgage,2,6731.53,1000.0,24,,Approved,
50414,2024-10-12,34,65793.56,652.0,Employed,Mortgage,4,5039.03,22026.64,12,9.52%,Approved,
50126,2025-02-25,57,54634.39,684.0,Self-Employed,Own,3,4641.95,32464.02,24,8.57%,Pending,
50384,2024-07-06,58,63112.66,575.0,Self-Employed,Mortgage,4,4546.62,3081.25,48,13.87%,Approved,
50393,2025-04-24,54,15000.0,640.0,Employed,Own,4,3579.23,27772.67,24,7.04%,Approved,
50139,2025-09-19,23,97001.07,583.0,Retired,Mortgage,4,9941.01,14320.31,48,9.67%,Approved,
50438,2025-06-22,51,44229.62,811.0,Employed,Rent,2,13258.13,18436.5,60,5.65%,Approved,
50029,2024-06-30,54,89013.12,684.0,Employed,Own,0,7121.26,9020.47,60,5.51%,Approved,
50140,2024-10-16,58,64493.95,647.0,Retired,Mortgage,0,7474.13,14556.92,60,5.74%,Denied,
50140,2024-10-16,58,64493.95,647.0,Retired,Mortgage,0,7474.13,14556.92,60,5.74%,Denied,
50478,2024-08-21,46,60096.27,684.0,Self-Employed,Own,3,12598.26,9914.1,12,12.21%,Approved,
50386,2025-01-17,59,78183.34,616.0,Self-Employed,Rent,3,7728.85,10241.09,24,4.9%,Denied,
50160,2024-06-30,36,36763.15,580.0,Self-Employed,Mortgage,0,4362.76,15833.7,48,13.57%,Denied,
50283,2024-06-30,25,15327.0,679.0,Employed,Mortgage,1,10409.79,9235.73,24,8.01%,Pending,
50394,2024-02-17,53,90645.56,667.0,Employed,Own,0,9112.01,11464.06,12,5.51%,Pending,
50006,2024-05-31,32,98231.52,688.0,Employed,Own,3,10106.92,1000.0,24,6.49%,Approved,
50445,2024-01-11,43,58703.0,615.0,Self-Employed,Mortgage,2,15819.49,6069.29,60,6.87%,Denied,
50425,2024-10-29,38,63301.94,732.0,Employed,Mortgage,2,179.07,19123.6,24,7.71%,Approved,
50020,2024-06-08,59,87276.62,610.0,Self-Employed,Mortgage,1,11990.61,39710.92,48,6.08%,Approved,
50296,2025-01-27,63,61059.18,626.0,Retired,Own,3,0.0,3351.23,24,9.59%,Denied,
50461,2025-05-20,33,77544.15,823.0,Unemployed,Own,0,12218.82,27511.25,60,8.15%,Approved,
50389,2025-03-10,53,15104.65,689.0,Employed,Rent,4,10135.2,17388.41,36,7.79%,Approved,
50291,2024-05-04,24,59423.93,554.0,Employed,Own,1,6481.94,22017.69,48,N/A,Approved,
50260,2024-09-24,27,15000.0,682.0,Employed,Rent,0,8336.57,18845.68,60,6.85%,Approved,
50381,2024-05-27,69,42384.93,736.0,Employed,Rent,1,10658.97,7260.14,48,9.1%,Denied,
50276,2024-08-19,33,,663.0,Self-Employed,Mortgage,4,8536.1,21088.56,36,12.09%,Denied,
50073,2025-07-26,42,63346.0,751.0,Retired,Mortgage,3,1463.14,14416.42,24,9.23%,Approved,
50194,2024-09-24,62,59637.45,752.0,Employed,Own,3,0.0,16206.05,12,9.05%,Denied,
50019,2025-08-31,31,91934.48,638.0,Employed,Own,3,9362.98,9007.93,24,3.49%,Approved,
50434,2024-09-25,58,40800.35,634.0,Employed,Rent,2,12291.77,17051.51,24,4.14%,Pending,
50334,2025-07-15,42,33073.74,786.0,Employed,Own,0,7101.66,22722.48,48,5.36%,Approved,
50173,2025-04-05,35,80765.46,639.0,Employed,Own,4,14229.2,20700.3,60,4.96%,Denied,
50404,2025-09-12,40,65279.37,671.0,Employed,Rent,1,12277.01,26398.06,12,11.16%,Denied,
50013,2025-02-27,36,49826.91,623.0,Retired,Own,2,17057.63,21122.46,48,7.81%,Approved,
50470,2024-03-14,36,51974.49,643.0,Employed,Own,1,427.92,11205.89,36,4.44%,Approved,
50179,2024-08-13,31,46687.62,838.0,Employed,Rent,3,10912.97,13060.96,60,10.04%,Denied,
50143,2025-07-17,31,63656.46,780.0,Employed,Own,0,11789.66,11705.47,36,4.54%,Approved,
50025,2025-06-19,68,63585.98,510.0,Self-Employed,Mortgage,4,9618.72,20960.08,24,9.07%,Approved,
50447,2024-01-16,49,93393.9,779.0,Employed,Own,4,10100.96,13228.9,60,9.82%,Approved,
50303,2025-06-12,53,50840.06,745.0,Employed,Mortgage,3,14300.59,11819.58,24,7.37%,Denied,
50288,2025-10-02,24,87198.43,683.0,Retired,Own,3,6519.73,9627.21,24,6.64%,Pending,
50150,2025-09-09,67,89727.08,644.0,Employed,Mortgage,1,21161.37,15976.19,48,9.7%,Denied,
50305,2024-01-03,45,45793.68,737.0,Employed,Mortgage,0,16502.98,12575.16,24,9.35%,Approved,
50237,2024-03-09,44,85839.63,758.0,Unemployed,Rent,0,5525.06,23997.08,24,7.04%,Pending,
50408,2024-05-13,40,72321.42,778.0,Retired,Mortgage,3,15815.75,20033.43,48,,Approved,
50449,2025-07-02,57,92419.13,662.0,Employed,Own,3,8654.53,14493.48,60,2.24%,Denied,
50274,2024-06-22,69,40540.15,754.0,Employed,Rent,4,9107.72,20744.06,12,7.75%,Denied,
50208,2025-06-04,69,43259.36,795.0,Employed,Rent,4,15815.07,20143.89,24,5.5%,Approved,
50272,2025-06-22,28,50290.06,703.0,Employed,Mortgage,1,5057.84,7224.75,48,9.1%,Approved,
50462,2025-05-01,68,39599.57,632.0,Employed,Mortgage,2,12307.86,17206.13,36,14.81%,Approved,
50163,2025-04-29,51,77200.8,638.0,Employed,Own,2,3048.65,31401.66,48,5.88%,Pending,
50482,2024-02-28,21,49864.7,763.0,Employed,Rent,4,4025.28,7401.51,12,7.7%,Denied,
50288,2025-10-01,24,87198.43,683.0,Retired,Own,3,6519.73,9627.21,24,6.64%,Pending,
50238,2025-09-10,25,57940.97,463.0,Employed,Own,3,0.0,19205.72,60,6.89%,Pending,
50315,2024-01-06,32,79229.59,552.0,Employed,Own,1,9932.59,7270.4,36,4.38%,Approved,
50488,2024-06-20,41,15000.0,,Self-Employed,Rent,0,13780.56,7309.36,60,9.47%,Approved,
50066,2024-08-15,60,67227.24,819.0,Employed,Rent,1,15338.28,18202.25,60,7.63%,Pending,
50214,2025-09-21,38,66377.27,765.0,Self-Employed,Own,4,7941.65,10295.04,48,5.65%,Denied,
50082,2024-02-18,31,56188.13,715.0,Employed,Rent,1,1392.91,7701.82,24,8.46%,Denied,
50145,2024-12-29,28,67748.8,691.0,Employed,Mortgage,3,0.0,17432.29,12,2.4%,Denied,
50102,2024-02-10,64,59874.86,733.0,Employed,Own,2,10254.69,17911.53,12,5.5%,Denied,
50304,2024-05-23,63,74541.17,642.0,Employed,Own,4,570.65,22009.13,36,9.85%,Denied,
50335,2024-01-27,37,15000.0,,Employed,Rent,0,8687.23,29850.14,36,8.32%,Approved,
50162,2025-08-29,64,38554.41,596.0,Employed,Rent,1,0.0,15509.08,24,8.69%,Denied,
50180,2024-04-21,66,59925.67,812.0,Retired,Mortgage,3,6996.51,2943.76,24,3.55%,Approved,
50458,2025-04-19,40,75821.43,796.0,Employed,Mortgage,0,6580.48,11368.76,36,11.11%,Approved,
50047,2025-07-05,52,48039.59,690.0,Employed,Rent,4,16499.63,3230.34,24,4.25%,Approved,
50115,2025-09-14,45,93971.5,713.0,Self-Employed,Own,3,3298.94,10960.61,12,9.15%,Denied,
50271,2024-06-08,67,45320.67,661.0,Self-Employed,Mortgage,2,2279.24,11971.3,48,9.1%,Denied,
50121,2024-01-12,64,44621.41,714.0,Employed,Rent,1,5611.61,5405.62,36,5.03%,Approved,
50475,2025-07-02,65,38588.63,623.0,Retired,Mortgage,1,9996.45,9371.9,60,9.42%,Denied,
50400,2024-07-01,34,71763.1,696.0,Employed,Mortgage,0,5450.25,19120.74,60,6.04%,Pending,
50050,2024-04-06,30,69318.04,742.0,Retired,Mortgage,3,10882.4,11937.91,36,9.74%,Approved,
50424,2024-12-14,59,51983.8,399.0,Employed,Rent,1,3670.46,1000.0,60,4.14%,Approved,
50061,2024-04-02,56,27696.46,682.0,Employed,Own,3,7728.37,2559.97,48,5.51%,Approved,
50453,2024-12-13,35,29646.73,672.0,Employed,Rent,4,10222.51,7282.68,36,2.87%,Approved,
50248,2024-04-21,22,60487.67,647.0,Self-Employed,Rent,2,16217.63,14652.02,36,7.42%,Denied,
50323,2024-11-03,38,51007.28,590.0,Employed,Mortgage,4,19278.62,14216.03,48,7.17%,Approved,
50204,2024-07-20,39,68011.62,718.0,Employed,Own,1,5170.75,17284.82,12,7.7%,Approved,
50033,2025-01-15,31,59859.7,794.0,Retired,Mortgage,2,12761.45,9963.93,36,8.49%,Approved,
50202,2025-04-26,31,30002.47,604.0,Employed,Rent,3,10533.78,7585.84,12,6.26%,Pending,
50256,2024-01-25,59,33732.73,722.0,Retired,Mortgage,0,13805.09,20119.92,24,6.3%,Approved,
50455,2024-07-10,23,75806.42,652.0,Employed,Own,3,7028.61,3232.34,24,6.46%,Approved,
50263,2025-02-07,22,64603.15,753.0,Employed,Own,3,0.0,7712.92,36,11.66%,Denied,
50349,2024-07-30,36,104316.55,803.0,Employed,Own,0,4052.0,30078.72,60,5.75%,Pending,
50397,2025-02-10,66,21856.99,702.0,Unemployed,Own,4,0.0,14188.33,48,7.66%,Approved,
50117,2024-05-31,50,84060.46,570.0,Self-Employed,Own,4,17398.87,5234.44,60,3.33%,Approved,
50124,2024-08-17,33,38935.95,570.0,Self-Employed,Own,2,5967.59,1000.0,12,8.65%,Approved,
50169,2024-01-09,49,79460.77,757.0,Employed,Rent,4,7838.71,15881.34,36,7.05%,Denied,
50379,2024-01-12,49,77143.22,583.0,Employed,Mortgage,1,10789.01,17571.38,48,7.11%,Approved,
50155,2024-09-28,64,61072.15,693.0,Employed,Mortgage,0,11025.24,11910.54,24,8.2%,Pending,
50239,2025-01-25,51,80981.5,678.0,Employed,Mortgage,2,14928.97,12011.12,36,6.36%,Denied,
50101,2024-07-14,33,54717.29,701.0,Employed,Rent,1,11841.44,1000.0,60,6.61%,Approved,
50231,2024-04-09,41,55079.19,799.0,Employed,Own,2,2564.5,14794.01,24,4.02%,Denied,
50187,2024-09-21,52,61823.1,566.0,Self-Employed,Own,1,13724.01,19395.53,48,6.55%,Denied,
50158,2025-08-17,32,23982.81,610.0,Employed,Own,1,5691.95,21713.15,60,8.46%,Pending,
50186,2024-12-17,34,99327.66,690.0,Employed,Rent,4,7332.17,4290.26,24,3.97%,Approved,
50254,2025-09-22,52,42764.31,585.0,Employed,Own,4,9224.31,17391.05,12,7.6%,Approved,
50329,2025-01-27,24,87069.73,758.0,Self-Employed,Mortgage,2,3986.85,13541.51,24,11.86%,Pending,
50212,2024-10-21,24,64126.55,565.0,Self-Employed,Own,2,14162.96,16066.5,12,8.22%,Denied,
50479,2025-04-06,31,75978.91,621.0,Employed,Rent,1,15618.54,27181.58,24,6.49%,Pending,
50002,2024-10-19,59,43849.96,585.0,Self-Employed,Mortgage,4,0.0,16016.53,24,3.01%,Denied,
50298,2024-11-16,63,55313.73,628.0,Self-Employed,Own,2,4965.97,7064.18,36,7.74%,Approved,
50157,2025-06-02,30,80731.51,572.0,Self-Employed,Mortgage,0,9569.19,21593.36,24,6.42%,Approved,
50317,2024-12-20,48,77985.94,735.0,Employed,Mortgage,2,24043.45,11620.13,48,11.52%,Approved,
50084,2025-08-11,51,33264.8,710.0,Employed,Mortgage,1,11699.08,13869.11,12,8.08%,Approved,
50374,2024-04-13,65,63894.76,749.0,Employed,Mortgage,3,3825.12,26363.39,60,,Denied,
50161,2024-04-23,63,15000.0,718.0,Retired,Rent,0,9324.65,16893.22,24,8.82%,Pending,
50320,2024-02-15,48,66277.06,755.0,Employed,Mortgage,0,14974.58,20211.14,12,6.75%,Denied,
50326,2025-02-16,62,50838.38,741.0,Employed,Mortgage,0,12541.96,17193.54,60,10.97%,Denied,
50469,2024-02-16,33,51250.67,595.0,Employed,Mortgage,1,3545.13,5548.32,24,4.27%,Approved,
50378,2024-08-02,54,71370.89,702.0,Employed,Mortgage,1,16603.88,15171.38,24,11.43%,Approved,
50260,2024-09-25,27,15000.0,682.0,Employed,Rent,0,8336.57,18845.68,60,6.85%,Approved,
50499,2025-01-22,38,,581.0,Employed,Rent,2,18024.71,25774.31,24,7.95%,Approved,
50351,2025-08-02,50,58815.37,665.0,Employed,Mortgage,1,7972.52,18663.19,48,7.96%,Approved,
50250,2024-01-13,68,73193.57,616.0,Employed,Mortgage,3,6084.43,15044.54,48,N/A,Approved,
50195,2025-07-30,27,117114.11,715.0,Employed,Mortgage,0,0.0,24004.8,24,6.06%,Denied,
50442,2025-06-14,33,57145.44,622.0,Employed,Mortgage,3,10449.78,10840.35,36,9.06%,Denied,
50487,2024-02-29,32,35996.56,473.0,Self-Employed,Mortgage,2,12558.98,14421.93,12,8.32%,Approved,
50359,2025-09-21,28,59751.12,576.0,Employed,Rent,3,6429.71,5956.04,48,5.59%,Approved,
50257,2025-04-07,46,96913.34,719.0,Employed,Mortgage,2,10165.61,28166.1,36,7.58%,Approved,
50367,2024-03-05,30,,795.0,Employed,Rent,2,8714.91,13920.63,36,7.85%,Approved,
50463,2025-08-04,41,58272.88,575.0,Employed,Own,4,1380.01,13919.08,60,5.68%,Approved,
50297,2024-02-08,39,64038.34,521.0,Employed,Rent,4,6796.67,16293.92,36,11.28%,Approved,
50380,2025-04-10,40,42795.74,800.0,Unemployed,Mortgage,4,19427.99,1000.0,24,N/A,Pending,
50454,2025-09-08,64,53221.63,734.0,Employed,Own,4,10414.32,24739.98,24,10.24%,Approved,
50181,2024-01-27,63,55261.72,573.0,Self-Employed,Rent,2,16997.2,27347.33,12,4.41%,Approved,
50092,2025-01-10,58,19958.96,639.0,Self-Employed,Mortgage,4,10760.02,19375.27,12,5.3%,Denied,
50052,2025-05-16,57,83741.25,729.0,Employed,Mortgage,4,6147.13,24916.54,60,8.68%,Approved,
50316,2024-04-14,46,38910.31,640.0,Self-Employed,Rent,4,13663.02,20839.04,48,5.2%,Approved,
50290,2024-03-13,53,39408.51,708.0,Employed,Mortgage,0,9697.14,8846.41,36,3.53%,Denied,
50229,2024-02-22,42,75312.09,621.0,Employed,Mortgage,4,13792.86,6097.65,12,6.97%,Approved,
50249,2025-04-01,26,87221.63,745.0,Self-Employed,Rent,1,6720.51,13730.16,24,4.82%,Approved,
50319,2025-01-19,61,72992.64,570.0,Employed,Mortgage,1,15552.84,21463.29,24,4.58%,Denied,
50099,2025-07-23,38,65640.86,658.0,Self-Employed,Mortgage,0,0.0,22280.32,48,6.95%,Approved,
50324,2024-01-12,22,62874.44,,Employed,Mortgage,3,8754.63,1000.0,60,,Approved,
50165,2024-10-18,45,84166.18,605.0,Employed,Rent,4,10650.2,20696.58,12,7.33%,Pending,
50205,2025-02-19,57,35813.26,748.0,Employed,Rent,0,11553.62,13264.91,60,3.66%,Approved,
50407,2024-01-16,50,45696.52,655.0,Self-Employed,Mortgage,3,13218.78,26137.32,12,9.19%,Denied,
50017,2025-05-07,65,58163.43,764.0,Employed,Own,3,8329.64,12504.03,48,9.27%,Approved,
50079,2024-03-24,56,58407.05,641.0,Employed,Mortgage,2,15840.95,1000.0,12,5.25%,Pending,
50109,2024-12-29,32,103989.12,671.0,Employed,Mortgage,4,2547.84,29083.1,48,7.83%,Denied,
50041,2024-06-03,43,85272.85,850.0,Employed,Mortgage,4,10640.89,23231.87,36,5.4%,Denied,
50049,2024-08-29,47,19239.57,747.0,Employed,Rent,3,8456.0,21542.67,12,8.3%,Approved,
50004,2024-10-28,48,74037.08,811.0,Employed,Mortgage,0,12545.25,1000.0,24,11.46%,Denied,
50492,2024-04-29,21,24283.09,731.0,Employed,Rent,3,693.66,27070.1,48,8.09%,Pending,
50355,2024-03-24,48,82033.61,743.0,Employed,Rent,1,7506.08,6021.61,48,7.38%,Approved,
50390,2025-03-17,49,105996.3,657.0,Employed,Rent,1,14844.59,14719.55,12,6.8%,Denied,
50341,2024-09-09,58,65691.19,683.0,Self-Employed,Own,0,17901.35,29424.96,36,9.26%,Pending,
