application_id,bureau_score,num_bureau_inquiries,open_credit_lines,last_delinquency_date
50014,592,2,6,
50331,653,2,2,
50344,751,2,4,2023-06-05
50037,606,4,7,
50075,745,1,11,
50134,848,1,4,
50073,739,4,14,
50305,627,4,6,
50294,655,2,11,2025-01-23
50148,674,1,10,2024-06-21
50206,661,1,4,
50142,601,1,14,
50022,783,1,7,2022-02-25
60010,575,2,5,2025-04-22
50105,732,4,5,
50496,600,5,9,2023-12-30
50078,659,2,11,
50246,766,1,9,
50227,737,5,1,2022-01-27
50086,691,1,7,2023-04-18
50193,708,0,6,
50455,676,2,12,2022-02-08
50397,823,2,9,
50215,727,4,13,
50137,724,5,14,2025-02-06
50341,795,1,14,
50491,639,2,1,
50391,651,1,6,
50111,850,4,12,2022-06-18
50045,714,3,8,
50321,508,2,12,
50071,759,1,9,2022-10-29
50490,614,4,11,
50081,782,1,6,2025-04-01
50262,625,4,2,
50055,542,4,9,2022-02-14
50161,587,1,7,2023-06-26
50198,831,1,5,
50119,774,5,1,
50468,773,2,2,
50443,737,2,6,
50026,686,2,4,
50185,510,3,3,2024-02-16
50065,677,3,9,
50007,702,1,8,
50057,769,0,14,2022-03-16
50389,739,3,4,
50287,603,4,9,2024-06-26
50158,789,3,3,
50318,751,4,1,
50021,829,4,3,2022-08-16
50251,764,1,4,2022-10-31
50010,821,2,8,
50319,622,6,5,
50398,558,1,12,
50400,575,3,5,
50286,583,1,3,
50435,626,1,11,2023-08-05
50173,694,3,14,
50458,729,1,12,
50348,535,5,11,2022-11-11
50275,701,4,4,2025-08-14
50327,813,2,4,2024-03-23
50109,732,2,12,
50476,723,3,13,2023-03-29
50104,656,2,2,
50358,545,3,1,2022-04-28
50414,785,3,4,
50417,676,2,11,
50311,597,3,13,2025-08-18
50352,554,0,4,
50171,611,5,14,2025-03-28
50497,560,3,3,
50249,675,1,9,
50356,589,3,5,2022-05-14
50335,682,5,10,
50288,655,3,10,
50126,509,3,9,
50174,686,3,13,2024-05-10
50374,607,4,2,
50333,691,5,5,2022-04-01
50031,675,1,8,
50285,658,4,4,2022-01-07
50027,752,1,1,
50038,578,3,2,2025-08-02
50074,630,2,9,2022-05-12
50039,744,4,9,
50203,639,1,14,2022-11-17
60020,717,1,12,
50133,515,2,1,
50298,721,7,7,
50343,726,3,2,
50153,514,2,14,
50379,836,3,7,
50238,728,2,6,
50184,577,5,2,2025-08-24
50412,597,4,11,
50297,816,2,8,2024-07-17
50052,674,0,1,2023-08-21
50008,618,2,2,2024-10-23
50493,646,3,14,
50097,770,2,4,2025-03-18
50088,613,2,14,
50274,765,3,14,
50235,682,5,2,
50392,715,4,1,2024-12-13
50155,781,5,5,2025-08-10
50312,703,1,2,
50253,643,5,12,2022-03-13
50167,580,3,1,
50302,625,7,4,
50192,682,4,9,
50313,630,2,5,
50163,724,6,13,
50271,608,1,10,2022-04-04
50083,829,2,12,
60015,620,0,9,
50233,760,2,2,2023-01-10
50150,691,5,8,
50365,599,6,13,
50191,610,4,14,
50320,527,1,12,2025-02-07
50098,795,4,11,
50481,814,1,11,2025-10-10
50260,807,3,1,2024-08-18
50463,685,0,13,2024-12-17
50270,685,1,13,
50211,671,0,4,2023-02-13
50243,781,4,3,2023-09-14
50337,699,2,14,
50328,567,2,1,
50112,764,3,12,
60016,732,2,3,
50471,634,3,5,
50489,752,4,3,2022-02-11
50214,607,1,14,
50108,627,3,11,2022-10-29
50438,768,2,5,
50423,810,7,10,
50498,541,1,14,
60017,640,5,3,
50457,625,4,2,
50143,697,4,13,
50128,812,3,9,
50434,668,2,7,2024-12-11
60014,625,2,10,
50144,692,3,13,2023-09-02
50324,548,3,9,
50416,701,2,4,2024-01-09
50102,626,1,6,
50141,595,3,2,
50162,639,3,6,2022-11-27
50314,616,2,10,2025-06-01
50006,515,2,7,
50307,768,0,11,2022-05-01
50125,632,1,7,
50281,667,0,8,
50079,578,3,7,
50355,801,1,4,
50342,694,1,13,2025-04-23
50474,584,1,10,
50221,727,4,3,
50077,608,1,1,
50009,459,2,8,
50237,821,2,9,
50046,621,2,12,
50279,592,6,9,2024-11-04
50028,680,6,2,
50004,660,4,11,
50017,495,5,6,
50449,850,1,6,
50042,759,0,12,
50422,504,1,14,
50290,582,3,2,
60006,602,1,3,
50345,658,3,2,
50084,689,2,4,
50175,827,1,9,
60009,737,0,8,
50361,678,0,8,
50354,677,1,2,2022-04-28
50196,762,2,9,2023-07-01
50190,702,3,5,
50100,708,3,11,
50180,657,6,9,
50216,776,1,12,
50087,638,5,9,2022-09-26
50169,740,3,7,
50091,524,3,6,2022-12-04
50205,664,4,9,
50164,451,1,3,
50165,815,4,13,2025-06-27
50140,570,3,12,2024-08-01
50350,837,2,6,2023-06-25
50329,630,5,9,
50011,556,3,1,
50092,790,2,13,
50036,737,1,2,2022-04-28
50228,710,0,5,
50029,850,0,8,
50492,640,1,7,2022-11-18
50322,677,1,6,
60004,626,2,6,
50116,608,5,8,2024-06-23
50213,592,4,8,2024-01-24
60013,808,1,1,2022-08-09
50299,847,4,9,
50362,654,1,9,2024-04-01
50030,677,0,4,
50012,727,4,10,2023-08-22
50152,519,2,10,
50419,700,2,10,
50368,714,4,10,2024-01-19
50382,789,2,11,
50429,782,4,1,2024-08-20
50070,772,8,7,
50385,560,3,7,
50317,548,2,11,2023-06-15
50334,599,4,12,2023-01-22
60005,601,8,10,
50456,718,1,14,2022-11-01
50280,750,0,2,
50325,709,1,14,2025-10-29
50020,594,5,1,
50394,675,4,13,
50131,662,2,14,2022-10-09
60019,612,2,6,
50146,850,2,2,
50360,724,3,5,
50217,699,3,10,2022-01-29
50089,634,1,12,
50386,576,2,12,
50122,631,2,10,
50486,606,3,9,2024-02-13
50044,668,5,2,2025-09-08
50402,668,0,2,
50366,705,1,6,2023-03-21
50480,764,6,11,2025-06-20
50406,674,2,10,
50401,687,1,4,
50241,848,3,14,2022-09-27
50310,761,3,1,
50454,602,5,3,
50120,583,2,13,
50034,727,3,5,
50186,683,4,11,
50001,685,3,8,2024-01-09
50145,793,1,7,
50461,735,4,13,2022-10-20
50447,736,3,6,2022-03-31
50240,570,1,3,
50347,746,2,2,
50441,508,2,4,
50204,586,4,14,
50482,728,2,11,
50304,650,2,6,
50393,745,3,8,
50259,564,3,7,
50283,618,4,10,
50495,748,3,11,2024-12-22
50049,657,1,11,
50219,722,2,10,2022-04-01
50110,466,2,11,2022-06-18
50069,522,0,1,2025-05-16
50316,621,0,7,
60011,524,2,6,
50353,740,3,13,
50373,545,1,4,
50432,693,3,4,2022-04-07
50269,702,3,3,2022-05-19
50230,751,3,2,2023-02-09
50363,744,4,5,2022-06-10
50418,775,5,2,2023-04-01
50375,649,0,1,
50410,656,2,6,
50172,715,1,5,2024-04-09
50399,678,2,7,2023-03-11
50093,658,3,10,
50387,752,2,3,2024-03-23
50381,686,0,10,2024-10-09
50067,645,5,8,2023-11-18
50225,701,1,5,
60003,780,1,8,
50168,628,4,10,
50218,661,1,11,2025-08-04
50015,691,2,2,2023-02-26
50121,669,2,3,2023-04-27
50473,789,4,9,
50433,726,2,12,
50451,772,1,3,
50440,850,2,10,
50239,702,1,6,2024-04-12
50224,788,1,13,
50189,796,3,5,
50326,602,1,4,
50182,738,0,1,
50181,723,3,12,
50157,794,0,14,
50390,488,3,4,2022-06-15
50064,725,4,14,2022-12-05
50377,690,1,11,2022-08-08
50245,605,1,9,
50047,596,2,2,
50256,647,1,7,
50424,640,4,5,
50123,826,2,7,2022-06-10
50263,622,2,8,2024-02-26
50483,675,3,10,2023-05-08
50395,643,1,5,2022-06-24
50117,692,1,4,
50234,704,5,9,2025-01-02
50309,761,5,12,
50002,759,5,3,2024-09-13
50349,669,3,13,2022-09-16
50450,850,1,8,2023-02-28
50041,612,5,4,2024-06-24
50439,748,1,7,
50428,834,4,8,2023-05-21
50025,680,6,2,
50278,729,3,9,
50255,701,4,2,2024-12-06
50413,850,3,6,
50154,685,3,14,2022-07-12
50351,638,2,5,
50138,564,2,10,2022-02-24
50199,704,3,9,
50053,763,4,11,
50378,698,2,13,2025-09-08
50261,850,2,7,
50277,785,4,12,2022-03-17
60008,750,4,8,
50460,722,0,11,
50296,613,3,7,
50066,624,1,13,2022-02-25
50195,549,2,5,
60001,659,2,11,2022-06-26
50220,672,0,14,
60002,689,5,2,
50061,677,3,14,
50151,653,3,14,
50383,709,3,4,
50050,645,7,6,2024-09-30
50332,746,6,14,
50223,739,3,7,
50147,654,0,14,2022-11-10
50129,681,3,2,
50293,850,2,6,2022-04-17
50446,619,4,10,2023-11-25
50420,673,1,3,
50242,798,3,10,
50494,545,2,7,2023-04-02
50139,630,1,10,
50197,813,1,6,2022-06-12
50229,645,3,9,2022-12-29
50292,842,1,9,
50013,741,1,14,
50130,635,2,9,
50405,559,1,5,
50250,621,4,7,
50338,736,1,4,2025-05-20
50466,681,2,1,
50488,505,3,6,2025-02-05
50201,635,1,7,2023-05-09
50254,644,1,5,
50470,717,1,8,
50409,703,0,11,2023-06-18
50236,666,5,11,
50442,635,3,13,2024-11-30
50370,662,2,14,
50127,701,4,7,
50264,538,2,9,
50257,537,0,1,2024-07-22
50266,850,4,2,
50315,704,4,13,
50062,443,6,9,
50462,694,3,14,
50023,621,4,8,
50068,830,3,14,
50135,698,0,2,
50431,460,3,3,
50267,671,2,13,
50059,823,2,13,
50464,652,3,4,
50136,609,3,4,2024-08-02
50371,715,3,11,
50407,698,0,1,2022-04-13
